layer,deprel_acc,uas,las
0,0.1670935080405003,0.05798094103633115,0.011167361524717093
1,0.27170935080405,0.06051220964860036,0.01956521739130435
2,0.3462179868969625,0.07942227516378797,0.03213222156045265
3,0.35920190589636686,0.10446694460988684,0.045681953543776056
4,0.42900536033353187,0.11938653960690887,0.06069088743299583
5,0.49991066110780225,0.14556283502084574,0.08436569386539607
6,0.5877605717689101,0.18814770696843358,0.12409172126265634
7,0.7764145324597975,0.2620011911852293,0.22313877307921381
8,0.8717391304347826,0.415842763549732,0.39443120905300777
9,0.9179273377010125,0.6229600952948183,0.6102144133412746
10,0.945473496128648,0.791155449672424,0.7787075640262061
11,0.9549731983323407,0.8610780226325193,0.8493448481238832
12,0.9748362120309708,0.9081000595592614,0.8971113758189398
