layer,deprel_acc,uas,las
0,0.02995830851697439,0.00961882072662299,0.00032757593805836805
1,0.028171530673019654,0.010750446694460989,0.0005062537224538416
2,0.0302263251935676,0.012835020845741512,0.0004466944609886837
3,0.03412745681953544,0.008576533650982729,0.00047647409172126264
4,0.03409767718880286,0.005479452054794521,0.0002084574151280524
5,0.035020845741512804,0.005747468731387731,0.0002977963073257892
6,0.038147706968433594,0.006611078022632519,0.00023823704586063132
7,0.04175104228707564,0.006759976176295414,0.0002084574151280524
8,0.04809410363311495,0.007117331745086361,0.0001488981536628946
9,0.05217391304347826,0.00821917808219178,0.00023823704586063132
10,0.06756998213222155,0.010690887432995832,0.0004466944609886837
11,0.07593805836807624,0.009737939249553306,0.0004466944609886837
12,0.12066706372840977,0.01155449672424062,0.0009827278141751042
13,0.10684931506849316,0.011494937462775462,0.0009529481834425253
14,0.14592019058963668,0.012209648600357356,0.0009231685527099464
15,0.196039309112567,0.014949374627754615,0.0022632519356759976
16,0.25348421679571176,0.019326980345443716,0.004407385348421679
17,0.39880881477069685,0.05982727814175104,0.0264145324597975
18,0.6173317450863609,0.13210244192972007,0.08013698630136987
19,0.8329064919594997,0.24002382370458605,0.20181655747468732
20,0.9382072662298987,0.3710244192972007,0.3529481834425253
21,0.9632519356759977,0.47468731387730795,0.4622692078618225
22,0.9692972007147111,0.6318046456223942,0.6206968433591423
23,0.9740619416319237,0.889249553305539,0.878499106611078
24,0.9747170935080405,0.9473198332340679,0.9352293031566409
