layer,deprel_acc,uas,las
0,0.035824895771292435,0.017391304347826087,0.00047647409172126264
1,0.0247170935080405,0.014234663490172722,0.0002977963073257892
2,0.03603335318642049,0.011197141155449673,0.0001488981536628946
3,0.0709053007742704,0.012537224538415723,0.00011911852293031566
4,0.13007742703990471,0.011048243001786778,0.0005955926146515784
5,0.18552709946396664,0.011018463371054199,0.0013996426444312091
6,0.21587254318046456,0.009589041095890411,0.0009231685527099464
7,0.3358844550327576,0.019535437760571768,0.005807027992852889
8,0.5795116140559857,0.038147706968433594,0.02474687313877308
9,0.7876414532459798,0.08758189398451459,0.07406194163192377
10,0.9146217986896963,0.2942227516378797,0.28180464562239427
11,0.9630732578916021,0.6829064919594997,0.6698630136986301
12,0.9655449672424062,0.9244490768314473,0.9080702799285288
