layer,upos_acc,deprel_acc,uas,las
0,0.13579511614055986,0.041155449672424065,0.037313877307921385,0.0020250148898153662
1,0.18916021441334127,0.03186420488385944,0.03758189398451459,0.0014889815366289458
2,0.2484514592019059,0.030136986301369864,0.040708755211435375,0.0012507444907683145
3,0.284723049434187,0.018612269207861822,0.05014889815366289,0.0012209648600357355
4,0.3601548540798094,0.01756998213222156,0.05259082787373436,0.0011614055985705778
5,0.41078022632519356,0.015068493150684932,0.06131625967837999,0.0014294222751637879
6,0.48907087552114353,0.014621798689696248,0.07837998808814771,0.0019952352590827875
7,0.7612269207861823,0.044401429422275165,0.11661703394877904,0.0093210244192972
8,0.9106015485407981,0.06590232281119714,0.14889815366289458,0.015157832042882667
9,0.9684633710541989,0.11712328767123288,0.2136986301369863,0.03219178082191781
10,0.9847528290649196,0.3767123287671233,0.4336212030970816,0.17617629541393687
11,0.9888921977367481,0.8735259082787373,0.7745979749851102,0.7077724836212032
12,0.9893388921977367,0.9655449672424062,0.8691780821917808,0.8542287075640262
