label,support,acc_emb,acc_final,best_layer_acc,delta_acc_max,best_layer_prob,delta_prob_max,conv_layer
det,4853,0.0177,0.9944,11,0.5658,11,0.6394,11
case,4532,0.0622,0.9958,11,0.5108,11,0.5868,12
punct,4443,0.0709,0.9984,11,0.5395,11,0.4844,12
nmod,2607,0.0353,0.9448,11,0.4223,11,0.5385,11
nsubj,1895,0.0433,0.953,11,0.4955,11,0.5319,12
obl,1746,0.0521,0.9026,11,0.4416,11,0.5757,11
root,1683,0.0315,0.9774,12,0.4397,12,0.6015,12
obj,1476,0.0352,0.9587,11,0.5379,11,0.6094,11
amod,1318,0.019,0.9598,11,0.5827,11,0.6268,12
advmod,1222,0.1031,0.9681,11,0.5933,11,0.5623,12
conj,960,0.024,0.9417,11,0.3365,11,0.5092,11
cc,833,0.0024,0.9916,11,0.6194,11,0.5695,12
mark,828,0.0278,0.9686,11,0.5507,11,0.5715,12
flat:name,686,0.0204,0.9781,10,0.3965,11,0.5101,11
cop,595,0.0319,0.9849,11,0.521,11,0.6015,12
xcomp,475,0.0211,0.9284,11,0.4,11,0.5468,11
advcl,437,0.0252,0.8764,11,0.4462,11,0.5485,12
acl:relcl,401,0.0549,0.9451,11,0.3342,11,0.5308,11
nummod,341,0.0235,0.9589,11,0.5044,11,0.5309,12
acl,307,0.013,0.8306,11,0.3844,11,0.4756,11
fixed,230,0.0217,0.9696,11,0.5087,11,0.6278,11
ccomp,218,0.0138,0.9174,10,0.4725,11,0.4725,11
appos,208,0.024,0.9375,11,0.274,11,0.4083,12
aux:pass,203,0.0148,0.9901,11,0.6946,11,0.6643,12
parataxis,160,0.0375,0.6938,11,0.3125,11,0.3255,12
aux,145,0.0483,0.9517,11,0.5862,11,0.6235,11
nsubj:pass,144,0.0,0.9722,11,0.4931,11,0.5946,12
ccomp:speech,130,0.0077,0.8692,11,0.6462,11,0.6081,12
expl,124,0.0,0.9113,11,0.6935,11,0.5886,12
obl:agent,110,0.0182,0.9636,11,0.5273,11,0.5391,11
csubj,83,0.0482,0.747,11,0.4337,11,0.4942,11
discourse,51,0.0,0.5686,11,0.3333,11,0.3,12
