label,support,acc_emb,acc_final,best_layer_acc,delta_acc_max,best_layer_prob,delta_prob_max,conv_layer
det,4853,0.0029,0.9948,9,0.3458,10,0.4185,10
case,4532,0.7974,0.9958,7,0.2379,10,0.2441,8
punct,4443,0.3698,0.9986,2,0.2908,10,0.3123,8
nmod,2607,0.0222,0.9425,9,0.5286,9,0.3712,9
nsubj,1895,0.0354,0.9546,3,0.267,9,0.2892,6
obl,1746,0.0349,0.917,9,0.4914,10,0.3892,10
root,1683,0.0095,0.975,9,0.7635,10,0.4775,10
obj,1476,0.0467,0.9587,9,0.6118,10,0.4163,10
amod,1318,0.0501,0.9545,7,0.3551,10,0.4244,10
advmod,1222,0.0147,0.9664,9,0.2807,11,0.464,11
conj,960,0.0417,0.9344,8,0.4312,10,0.4295,10
cc,833,0.0288,0.994,8,0.3409,11,0.3294,11
mark,828,0.0314,0.9674,10,0.5495,10,0.5223,10
flat:name,686,0.0364,0.9738,7,0.5598,10,0.4116,10
cop,595,0.0067,0.9832,7,0.2286,10,0.4214,10
xcomp,475,0.0337,0.9242,10,0.4674,11,0.6166,11
advcl,437,0.0046,0.8741,9,0.4897,10,0.4744,10
acl:relcl,401,0.0075,0.9526,8,0.3092,10,0.3082,9
nummod,341,0.0,0.9472,10,0.2727,11,0.3695,10
acl,307,0.0163,0.8599,9,0.2541,11,0.5201,11
fixed,230,0.0087,0.9696,8,0.413,11,0.3336,9
ccomp,218,0.0275,0.9358,10,0.4725,11,0.3957,10
appos,208,0.0144,0.9183,8,0.4375,10,0.3345,9
aux:pass,203,0.0,0.9951,8,0.3645,10,0.4223,9
parataxis,160,0.0062,0.7062,11,0.2562,11,0.2912,12
aux,145,0.0,0.9655,10,0.7241,11,0.4799,11
nsubj:pass,144,0.0208,0.9861,9,0.6458,10,0.4264,10
ccomp:speech,130,0.0154,0.9154,9,0.6846,10,0.6012,10
expl,124,0.0,0.8952,10,0.379,11,0.5871,11
obl:agent,110,0.0,0.9636,9,0.5909,11,0.3064,9
csubj,83,0.0,0.8193,10,0.494,11,0.4383,11
discourse,51,0.0196,0.6078,9,0.2157,11,0.2473,12
