label,support,acc_emb,acc_final,best_layer_acc,delta_acc_max,best_layer_prob,delta_prob_max,conv_layer
3,2112,0.026,0.946,11,0.2382,11,0.5469,11
2,1878,0.0224,0.9675,8,0.4643,11,0.4207,11
5,1868,0.0257,0.9529,9,0.2607,12,0.6145,12
4,1779,0.0225,0.9635,12,0.4755,12,0.6764,12
7,1771,0.0147,0.9475,9,0.3919,12,0.4661,11
6,1699,0.0071,0.9647,10,0.5221,12,0.6406,12
0,1683,0.0404,0.981,9,0.5359,11,0.7433,10
11,1664,0.015,0.9393,12,0.7518,12,0.7827,12
10,1616,0.0149,0.9536,11,0.677,12,0.4906,12
9,1580,0.05,0.9589,10,0.412,11,0.437,11
8,1566,0.0358,0.9591,11,0.5907,11,0.4266,11
13,1391,0.0144,0.936,11,0.4119,12,0.4574,12
12,1382,0.0152,0.9566,11,0.6194,12,0.5943,12
14,1329,0.0143,0.9398,11,0.5613,11,0.4318,12
16,1139,0.0018,0.9561,10,0.4838,12,0.6888,12
15,1077,0.0149,0.9526,11,0.4847,12,0.5044,12
17,937,0.2049,0.9317,12,0.6297,12,0.8187,12
18,808,0.005,0.9295,11,0.6386,12,0.7855,12
1,780,0.0936,0.9154,10,0.2551,11,0.5455,11
19,704,0.0099,0.9176,10,0.3935,12,0.8189,12
20,611,0.162,0.9411,12,0.3993,12,0.8983,12
22,551,0.0309,0.8766,12,0.7695,12,0.8456,12
21,541,0.0795,0.9261,12,0.7153,12,0.902,12
23,425,0.0165,0.9176,11,0.7929,12,0.7572,12
24,345,0.0058,0.8783,11,0.4406,12,0.7548,12
25,323,0.0155,0.8854,11,0.6285,12,0.639,12
26,321,0.0062,0.8629,11,0.7882,12,0.6504,12
28,260,0.0115,0.8885,11,0.4808,12,0.7004,12
27,246,0.0122,0.8455,11,0.4837,12,0.7,12
29,190,0.0105,0.8789,11,0.8211,11,0.4955,11
31,162,0.0185,0.858,11,0.6173,12,0.4888,12
30,158,0.0063,0.8544,11,0.538,12,0.4163,12
32,150,0.0,0.9467,12,0.76,12,0.8238,12
33,106,0.0,0.6509,11,0.6698,12,0.5126,11
