label,support,acc_emb,acc_final,best_layer_acc,delta_acc_max,best_layer_prob,delta_prob_max,conv_layer
3,2112,0.0568,0.9455,10,0.3007,10,0.3014,11
2,1878,0.0495,0.9606,10,0.3573,10,0.3565,11
5,1868,0.038,0.9566,11,0.379,11,0.408,11
4,1779,0.032,0.9539,10,0.3699,10,0.3337,11
7,1771,0.0333,0.9396,11,0.4325,11,0.4595,12
6,1699,0.0394,0.9447,11,0.4079,11,0.4341,11
0,1683,0.0654,0.9774,12,0.4848,12,0.5129,12
11,1664,0.0337,0.9231,11,0.4892,11,0.4912,12
10,1616,0.034,0.935,11,0.4703,11,0.4884,12
9,1580,0.0373,0.9399,11,0.5013,11,0.5089,12
8,1566,0.0332,0.9317,11,0.4438,11,0.4616,12
13,1391,0.0359,0.8756,11,0.4551,11,0.4627,12
12,1382,0.0326,0.9124,11,0.4725,11,0.4864,12
14,1329,0.0226,0.8841,11,0.4274,11,0.4361,12
16,1139,0.0325,0.8367,11,0.3845,11,0.3904,12
15,1077,0.0334,0.8505,11,0.3798,11,0.3938,12
17,937,0.0374,0.873,11,0.4034,11,0.3991,12
18,808,0.0347,0.7562,11,0.3156,11,0.318,12
1,780,0.0487,0.9205,10,0.1872,10,0.2072,10
19,704,0.0412,0.7557,11,0.3381,11,0.3388,12
20,611,0.0229,0.761,11,0.3437,11,0.3444,12
22,551,0.0181,0.6425,11,0.1924,11,0.2123,12
21,541,0.0296,0.7172,11,0.2773,11,0.2713,12
23,425,0.0235,0.6847,11,0.2729,11,0.2698,12
24,345,0.0203,0.5855,11,0.2,11,0.2202,12
25,323,0.0619,0.6594,11,0.2074,11,0.2064,12
26,321,0.0436,0.4984,11,0.1931,11,0.1811,12
28,260,0.0346,0.5077,12,0.1577,12,0.1576,12
27,246,0.0163,0.5935,12,0.1829,12,0.1665,12
29,190,0.0053,0.5316,11,0.1842,11,0.1749,12
31,162,0.0494,0.4383,11,0.1296,11,0.1425,12
30,158,0.038,0.4241,10,0.1266,11,0.124,12
32,150,0.0,0.3533,10,0.0867,10,0.1078,12
33,106,0.0189,0.2264,10,0.1038,10,0.0904,12
