label,support,acc_emb,acc_final,best_layer_acc,delta_acc_max,best_layer_prob,delta_prob_max,conv_layer
NOUN,6309,0.1346,0.9933,17,0.1606,20,0.2414,20
ADP,5019,0.8167,0.9988,3,0.1172,19,0.1391,3
DET,4904,0.54,0.9957,16,0.2767,19,0.216,18
PUNCT,4443,0.6876,0.9984,18,0.393,24,0.3573,20
VERB,3368,0.171,0.9923,18,0.2794,19,0.2604,19
PROPN,2209,0.1652,0.9959,12,0.1639,19,0.1996,18
ADJ,1691,0.0917,0.984,17,0.2431,19,0.1845,18
PRON,1286,0.1229,0.9907,6,0.147,21,0.1296,15
ADV,1272,0.1619,0.9843,1,0.2657,19,0.2438,18
AUX,968,0.4205,0.999,10,0.2231,21,0.1787,14
CCONJ,823,0.9222,0.9939,7,0.2187,19,0.1622,15
NUM,622,0.1977,0.9807,1,0.209,19,0.209,11
SCONJ,456,0.6908,0.9759,13,0.1776,20,0.2782,20
SYM,120,0.85,0.9917,9,0.0833,19,0.1454,11
X,85,0.0353,0.7765,12,0.2,20,0.1266,18
