label,support,acc_emb,acc_final,best_layer_acc,delta_acc_max,best_layer_prob,delta_prob_max,conv_layer
NOUN,6309,0.1647,0.9892,7,0.2937,7,0.1849,9
ADP,5019,0.1458,0.9974,7,0.3736,10,0.2614,9
DET,4904,0.0102,0.9951,7,0.3575,7,0.3014,7
PUNCT,4443,0.0997,0.9986,8,0.3995,9,0.3153,9
VERB,3368,0.0891,0.9866,7,0.3937,7,0.2554,9
PROPN,2209,0.0761,0.9964,3,0.2888,6,0.1674,6
ADJ,1691,0.0757,0.9574,7,0.3028,9,0.3189,10
PRON,1286,0.6454,0.9813,3,0.2201,4,0.1169,8
ADV,1272,0.4638,0.978,7,0.3129,9,0.21,9
AUX,968,0.126,0.9969,1,0.3636,2,0.2353,5
CCONJ,823,0.0,0.9915,2,0.39,7,0.1464,8
NUM,622,0.0707,0.9775,3,0.2235,7,0.1802,10
SCONJ,456,0.0,0.9518,1,0.6053,9,0.156,8
SYM,120,0.925,1.0,1,0.0583,1,0.2953,1
X,85,0.0353,0.7412,9,0.1529,12,0.1289,12
