label,support,acc_emb,acc_final,best_layer_acc,delta_acc_max,best_layer_prob,delta_prob_max,conv_layer
NOUN,6309,0.1324,0.9886,7,0.2003,9,0.1772,8
ADP,5019,0.6828,0.998,7,0.4162,10,0.2406,10
DET,4904,0.0002,0.9951,9,0.3308,10,0.3925,10
PUNCT,4443,0.2921,0.9986,2,0.3142,8,0.2364,7
VERB,3368,0.0591,0.9857,9,0.3126,10,0.3517,10
PROPN,2209,0.0797,0.9959,7,0.2943,7,0.2036,10
ADJ,1691,0.0905,0.9568,8,0.2963,10,0.3354,10
PRON,1286,0.1734,0.9821,7,0.161,11,0.2832,11
ADV,1272,0.0322,0.9764,7,0.2956,10,0.1922,9
AUX,968,0.0475,0.9979,5,0.2417,10,0.2724,9
CCONJ,823,0.1215,0.9927,1,0.4885,10,0.2431,10
NUM,622,0.0434,0.9695,7,0.2315,11,0.3004,11
SCONJ,456,0.2961,0.9408,10,0.4803,10,0.3966,11
SYM,120,0.1417,1.0,6,0.525,7,0.21,7
X,85,0.0118,0.7059,10,0.2118,11,0.2728,12
