label,layer,acc,mean_gold_prob,support
DET,0,0.010195758564437194,0.049683452511066116,4904
DET,1,0.02875203915171289,0.09294087671912936,4904
DET,2,0.18148450244698205,0.13376418098081497,4904
DET,3,0.3144371941272431,0.15857910794254582,4904
DET,4,0.5340538336052202,0.22672514308296784,4904
DET,5,0.6305057096247961,0.2726836563543786,4904
DET,6,0.5950244698205547,0.2659503102286789,4904
DET,7,0.9524877650897227,0.5673462077367084,4904
DET,8,0.9779771615008157,0.727817935997335,4904
DET,9,0.9906199021207178,0.9051879021609693,4904
DET,10,0.9959216965742251,0.9765051203352767,4904
DET,11,0.9963295269168027,0.9945933194694664,4904
DET,12,0.9951060358890701,0.9947893663141183,4904
NOUN,0,0.1646853701061975,0.10445015869236192,6309
NOUN,1,0.27373593279442066,0.16373222070007443,6309
NOUN,2,0.3089237597083532,0.16379010332261892,6309
NOUN,3,0.3350768743065462,0.17208446564648391,6309
NOUN,4,0.3932477413219211,0.19782389555250648,6309
NOUN,5,0.4495165636392455,0.21123820816072666,6309
NOUN,6,0.5382786495482644,0.2732563558037957,6309
NOUN,7,0.8319860516722143,0.45811555714898267,6309
NOUN,8,0.9275637977492471,0.6268160109337749,6309
NOUN,9,0.9668727215089554,0.7663263560586054,6309
NOUN,10,0.9874782057378348,0.9190352976601938,6309
NOUN,11,0.990806783959423,0.984308064570551,6309
NOUN,12,0.9892217467110477,0.9889445828042472,6309
VERB,0,0.08907363420427554,0.07060020248872749,3368
VERB,1,0.12232779097387174,0.092208024860614,3368
VERB,2,0.21199524940617578,0.1323122414745083,3368
VERB,3,0.17280285035629453,0.11524923570277354,3368
VERB,4,0.17666270783847982,0.1157000879465031,3368
VERB,5,0.22743467933491687,0.1330009398656602,3368
VERB,6,0.43200712589073637,0.2197550078797278,3368
VERB,7,0.8257125890736342,0.4751720317946902,3368
VERB,8,0.9367577197149644,0.6189117453492002,3368
VERB,9,0.9679334916864608,0.7751170985535982,3368
VERB,10,0.9795130641330166,0.8933475677370016,3368
VERB,11,0.9863420427553444,0.978015849940341,3368
VERB,12,0.9866389548693587,0.9862512685558942,3368
PUNCT,0,0.09970740490659465,0.09420015992911143,4443
PUNCT,1,0.06099482331757821,0.06073454500726332,4443
PUNCT,2,0.08935404006302049,0.09148670057863742,4443
PUNCT,3,0.11523745217195588,0.09994676575046606,4443
PUNCT,4,0.1244654512716633,0.09725560936294417,4443
PUNCT,5,0.15372496061219895,0.11643515220517722,4443
PUNCT,6,0.2833670943056493,0.17699759956785704,4443
PUNCT,7,0.5140670717983344,0.29797694164649197,4443
PUNCT,8,0.9135719108710331,0.5330998448239656,4443
PUNCT,9,0.9891964888588791,0.8483634801775357,4443
PUNCT,10,0.9977492685122665,0.9756992073902684,4443
PUNCT,11,0.9986495611073599,0.9976560285302347,4443
PUNCT,12,0.9986495611073599,0.9984841219146976,4443
SCONJ,0,0.0,0.1132588682230562,456
SCONJ,1,0.6052631578947368,0.2088758658225599,456
SCONJ,2,0.4692982456140351,0.2137599880235237,456
SCONJ,3,0.14692982456140352,0.14201554041274153,456
SCONJ,4,0.32456140350877194,0.19514015961127976,456
SCONJ,5,0.5285087719298246,0.23784901976601727,456
SCONJ,6,0.7149122807017544,0.33796391828933303,456
SCONJ,7,0.831140350877193,0.45962937812631327,456
SCONJ,8,0.9232456140350878,0.5954591554850993,456
SCONJ,9,0.9429824561403509,0.7514256766217091,456
SCONJ,10,0.9495614035087719,0.8674562171146503,456
SCONJ,11,0.9671052631578947,0.9591724875148501,456
SCONJ,12,0.9517543859649122,0.947633816967331,456
ADP,0,0.14584578601315004,0.12376457407191384,5019
ADP,1,0.2755528989838613,0.15529584116706022,5019
ADP,2,0.12990635584777843,0.10122365134377215,5019
ADP,3,0.046224347479577606,0.06144644278636034,5019
ADP,4,0.031081888822474597,0.05617104997607158,5019
ADP,5,0.03705917513448894,0.06309548833270705,5019
ADP,6,0.15361625821876868,0.12688630538151816,5019
ADP,7,0.5271966527196653,0.27348972196379184,5019
ADP,8,0.8160988244670253,0.4323792142566597,5019
ADP,9,0.9505877664873481,0.6474200092059562,5019
ADP,10,0.9938234708109185,0.908802346855974,5019
ADP,11,0.9970113568439928,0.9907380471598208,5019
ADP,12,0.9974098425981271,0.9974253356664153,5019
ADJ,0,0.07569485511531639,0.08006628628871194,1691
ADJ,1,0.08574807806031934,0.07986555281409824,1691
ADJ,2,0.11768184506209343,0.0931815808482792,1691
ADJ,3,0.08279124778237729,0.07764211985310689,1691
ADJ,4,0.12477823772915435,0.0957548475765366,1691
ADJ,5,0.13128326434062684,0.10473910586714044,1691
ADJ,6,0.12241277350680072,0.1163255211746839,1691
ADJ,7,0.42519219396806623,0.2078490594472452,1691
ADJ,8,0.6788882318154937,0.35419498096450963,1691
ADJ,9,0.9083382613837966,0.6731267007427716,1691
ADJ,10,0.9308101714961561,0.7813985765109984,1691
ADJ,11,0.94795978710822,0.9342985568521919,1691
ADJ,12,0.9574216439976345,0.9550019178519228,1691
CCONJ,0,0.0,0.05071219556779914,823
CCONJ,1,0.30741190765492105,0.14261069012249064,823
CCONJ,2,0.6974483596597812,0.239072614955124,823
CCONJ,3,0.8444714459295262,0.36278358291461726,823
CCONJ,4,0.8323207776427703,0.383335081139343,823
CCONJ,5,0.8311057108140948,0.3372485811560889,823
CCONJ,6,0.8517618469015796,0.3927874104300719,823
CCONJ,7,0.928311057108141,0.5392141959394859,823
CCONJ,8,0.9538274605103281,0.6806916978489155,823
CCONJ,9,0.9586877278250304,0.7987221924596288,823
CCONJ,10,0.9842041312272175,0.8763237287234379,823
CCONJ,11,0.991494532199271,0.9843677116466604,823
CCONJ,12,0.991494532199271,0.991547030426144,823
ADV,0,0.4638364779874214,0.19543622743298808,1272
ADV,1,0.3411949685534591,0.19996110358771155,1272
ADV,2,0.5220125786163522,0.2268673038328324,1272
ADV,3,0.3443396226415094,0.19870385280392958,1272
ADV,4,0.47091194968553457,0.23681286447344688,1272
ADV,5,0.4772012578616352,0.24506045460156253,1272
ADV,6,0.5314465408805031,0.28376006346222293,1272
ADV,7,0.8443396226415094,0.4762033237339841,1272
ADV,8,0.9119496855345912,0.5888801382253468,1272
ADV,9,0.9614779874213837,0.7988333102175087,1272
ADV,10,0.9724842767295597,0.8972757623599382,1272
ADV,11,0.97562893081761,0.9649480945863587,1272
ADV,12,0.9779874213836478,0.9773493293400275,1272
PROPN,0,0.07605251244907198,0.0655566897471349,2209
PROPN,1,0.09551833408782254,0.07842644575900336,2209
PROPN,2,0.20461747397012223,0.12590246964004667,2209
PROPN,3,0.4934359438660027,0.23170756888202731,2209
PROPN,4,0.7460389316432775,0.3813477402385164,2209
PROPN,5,0.8972385694884563,0.49017457711063883,2209
PROPN,6,0.9655952919873246,0.657534412274052,2209
PROPN,7,0.9882299683114532,0.754881051849218,2209
PROPN,8,0.996831145314622,0.855733966904293,2209
PROPN,9,0.9981892258940697,0.9464016028352321,2209
PROPN,10,0.9972838388411046,0.9722662893798069,2209
PROPN,11,0.996831145314622,0.9929137094456914,2209
PROPN,12,0.9963784517881394,0.9955115580643795,2209
AUX,0,0.12603305785123967,0.12360823184419192,968
AUX,1,0.4896694214876033,0.22278986319328065,968
AUX,2,0.8378099173553719,0.45813853731224974,968
AUX,3,0.9194214876033058,0.6257035380367898,968
AUX,4,0.9163223140495868,0.7089122788738151,968
AUX,5,0.9741735537190083,0.8112498567004742,968
AUX,6,0.9865702479338843,0.854356296248888,968
AUX,7,0.9886363636363636,0.8927512681361842,968
AUX,8,0.9824380165289256,0.8598003460783203,968
AUX,9,0.9958677685950413,0.9259061813277524,968
AUX,10,0.996900826446281,0.9765178362390581,968
AUX,11,0.996900826446281,0.9962979521892634,968
AUX,12,0.996900826446281,0.9964541351877331,968
NUM,0,0.0707395498392283,0.07483612296360147,622
NUM,1,0.10128617363344052,0.0844039021181901,622
NUM,2,0.2765273311897106,0.14331481342018249,622
NUM,3,0.5,0.2104887899828901,622
NUM,4,0.6061093247588425,0.261670227607239,622
NUM,5,0.6141479099678456,0.284487145506684,622
NUM,6,0.6784565916398714,0.3467187263592599,622
NUM,7,0.8681672025723473,0.5268814549758922,622
NUM,8,0.8922829581993569,0.6280420665031036,622
NUM,9,0.9260450160771704,0.7686440867478166,622
NUM,10,0.9453376205787781,0.8650952306560585,622
NUM,11,0.9678456591639871,0.9490014766367284,622
NUM,12,0.977491961414791,0.9765953525197906,622
PRON,0,0.645412130637636,0.23827551979416603,1286
PRON,1,0.3429237947122862,0.1969024676834646,1286
PRON,2,0.4144634525660964,0.2171000865066111,1286
PRON,3,0.6345256609642301,0.28168440622228313,1286
PRON,4,0.7768273716951789,0.39855324731441577,1286
PRON,5,0.8017107309486781,0.4362335363345027,1286
PRON,6,0.8227060653188181,0.4788028397937747,1286
PRON,7,0.8973561430793157,0.5841253878893461,1286
PRON,8,0.9556765163297045,0.6483060674536191,1286
PRON,9,0.9580093312597201,0.7438899885356487,1286
PRON,10,0.9704510108864697,0.8525981172245134,1286
PRON,11,0.97900466562986,0.956122316427345,1286
PRON,12,0.9813374805598756,0.9815855572533769,1286
SYM,0,0.925,0.26272265817970036,120
SYM,1,0.9833333333333333,0.5580495534464717,120
SYM,2,0.975,0.6852401235451301,120
SYM,3,0.9916666666666667,0.8262446946154038,120
SYM,4,0.9916666666666667,0.9125235465665659,120
SYM,5,0.9916666666666667,0.9120588883757591,120
SYM,6,0.9916666666666667,0.9274287576476733,120
SYM,7,1.0,0.9463371429592371,120
SYM,8,1.0,0.9491749567290148,120
SYM,9,1.0,0.9641994138558706,120
SYM,10,1.0,0.963566854596138,120
SYM,11,1.0,0.992224911848704,120
SYM,12,1.0,0.9980783065160116,120
X,0,0.03529411764705882,0.06189128285383477,85
X,1,0.03529411764705882,0.0451373555478366,85
X,2,0.058823529411764705,0.07205863989451353,85
X,3,0.15294117647058825,0.12292104990166776,85
X,4,0.2,0.1480556329164435,85
X,5,0.23529411764705882,0.16598137073657093,85
X,6,0.3176470588235294,0.22487182945889586,85
X,7,0.4470588235294118,0.28019329644739627,85
X,8,0.5411764705882353,0.3678908297025106,85
X,9,0.6941176470588235,0.4758221965173588,85
X,10,0.6235294117647059,0.5305540160440346,85
X,11,0.6470588235294118,0.6118044994922136,85
X,12,0.7411764705882353,0.7407212317237094,85
INTJ,0,0.0,0.04201279412955046,5
INTJ,1,0.0,0.03604860957711935,5
INTJ,2,0.0,0.04936488587409258,5
INTJ,3,0.0,0.062415749207139014,5
INTJ,4,0.0,0.05785188227891922,5
INTJ,5,0.0,0.08857843726873398,5
INTJ,6,0.0,0.11679765284061432,5
INTJ,7,0.6,0.1857632353901863,5
INTJ,8,0.6,0.29287344217300415,5
INTJ,9,0.6,0.47552018240094185,5
INTJ,10,0.6,0.5643764905631542,5
INTJ,11,0.6,0.599528058571741,5
INTJ,12,0.6,0.5786820594812525,5
