label,layer,acc,mean_gold_prob,support
DET,0,0.0002039151712887439,0.028003163828727595,4904
DET,1,0.0012234910277324632,0.03619148238612089,4904
DET,2,0.004282218597063622,0.04641202593608824,4904
DET,3,0.005301794453507341,0.04211083021664234,4904
DET,4,0.05118270799347471,0.07206938602690217,4904
DET,5,0.0399673735725938,0.06934072603327245,4904
DET,6,0.026508972267536703,0.06698072835688895,4904
DET,7,0.15925774877650897,0.11272100635697316,4904
DET,8,0.3878466557911909,0.15761247060846972,4904
DET,9,0.7185970636215334,0.32083534663824176,4904
DET,10,0.9845024469820555,0.7133630425693941,4904
DET,11,0.9957177814029364,0.9773882430569087,4904
DET,12,0.9951060358890701,0.9950042301406636,4904
NOUN,0,0.13235061023934064,0.09234971488421281,6309
NOUN,1,0.10334442859407196,0.08640171678975651,6309
NOUN,2,0.18132826121413853,0.11164082604590174,6309
NOUN,3,0.37375178316690444,0.16344011997407543,6309
NOUN,4,0.33713742272943414,0.1540631752446876,6309
NOUN,5,0.5297194484070376,0.216716054082463,6309
NOUN,6,0.6493897606593755,0.30777136353896317,6309
NOUN,7,0.849738468854018,0.46615193229798096,6309
NOUN,8,0.9576795054683785,0.6195213198357895,6309
NOUN,9,0.9851006498652718,0.7967581805728019,6309
NOUN,10,0.9901727690600729,0.9122634765630498,6309
NOUN,11,0.9889047392613727,0.9793173600033744,6309
NOUN,12,0.9885877318116976,0.9885112267351346,6309
VERB,0,0.05908551068883611,0.06352880147920098,3368
VERB,1,0.04928741092636579,0.055642253843220746,3368
VERB,2,0.06561757719714964,0.06606807061700558,3368
VERB,3,0.08669833729216152,0.08107490903648687,3368
VERB,4,0.09352731591448932,0.08659117982607786,3368
VERB,5,0.15498812351543942,0.11022527818070313,3368
VERB,6,0.16211401425178149,0.11438544856612803,3368
VERB,7,0.3586698337292161,0.1768387573087619,3368
VERB,8,0.5899643705463183,0.23360478699513137,3368
VERB,9,0.9026128266033254,0.4801226673051029,3368
VERB,10,0.9759501187648456,0.8318412122877823,3368
VERB,11,0.9851543942992874,0.9803056414737354,3368
VERB,12,0.9857482185273159,0.9850680712842182,3368
PUNCT,0,0.29214494710781,0.11044220107691599,4443
PUNCT,1,0.43259059194238125,0.14605171593388652,4443
PUNCT,2,0.7467927076299797,0.19183316996776786,4443
PUNCT,3,0.6945757371145622,0.20851594589159292,4443
PUNCT,4,0.6898492009903219,0.2406744908092025,4443
PUNCT,5,0.7738014854827819,0.2971974889492696,4443
PUNCT,6,0.8631555255458024,0.42507073194150746,4443
PUNCT,7,0.9603871258158901,0.45070370084780303,4443
PUNCT,8,0.9637632230474904,0.687090018127745,4443
PUNCT,9,0.9777177582714383,0.7701755407845488,4443
PUNCT,10,0.9972991222147198,0.9509336863039032,4443
PUNCT,11,0.9981994148098132,0.9928716296804415,4443
PUNCT,12,0.9986495611073599,0.9985674022645219,4443
SCONJ,0,0.29605263157894735,0.14268756647422715,456
SCONJ,1,0.25219298245614036,0.15554103610236525,456
SCONJ,2,0.12938596491228072,0.10323597212207683,456
