layer,upos_acc,deprel_acc,uas,las
0,0.47102441929720074,0.14824300178677785,0.0547945205479452,0.00798094103633115
1,0.5810601548540798,0.29550327575938057,0.060214413341274566,0.018582489577129244
2,0.6494937462775462,0.3641155449672424,0.08168552709946397,0.030643240023823706
3,0.6444609886837404,0.3936569386539607,0.11643835616438356,0.05050625372245384
4,0.73394877903514,0.45333531864204885,0.1371649791542585,0.0693567599761763
5,0.8151578320428826,0.5206968433591423,0.15163787969029183,0.08633114949374628
6,0.900148898153663,0.5737343656938654,0.18156640857653364,0.11530673019654557
7,0.9612864800476474,0.7024419297200715,0.27150089338892197,0.22022036926742108
8,0.9829064919594998,0.809410363311495,0.39368671828469326,0.3624776652769506
9,0.9888028588445503,0.8946992257296009,0.5711137581893985,0.5539011316259679
10,0.991304347826087,0.936212030970816,0.7794818344252531,0.7665276950565812
11,0.9919594997022037,0.9540798094103633,0.8555390113162596,0.8430911256700417
12,0.9926742108397856,0.974895771292436,0.8983621203097082,0.8870756402620608
