encoder,layer,task,seed,acc
lin_bertimbau,0,upos,0,0.908844530582428
lin_bertimbau,0,upos,1,0.9092614650726318
lin_bertimbau,0,upos,2,0.9097676873207092
lin_bertimbau,0,upos,3,0.9096187949180603
lin_bertimbau,0,upos,4,0.908695638179779
lin_bertimbau,0,deprel,0,0.682876706123352
lin_bertimbau,0,deprel,1,0.6837998628616333
lin_bertimbau,0,deprel,2,0.6834722757339478
lin_bertimbau,0,deprel,3,0.6835318803787231
lin_bertimbau,0,deprel,4,0.6828171610832214
lin_bertimbau,0,head,0,0.22427040338516235
lin_bertimbau,0,head,1,0.22632519900798798
lin_bertimbau,0,head,2,0.22567003965377808
lin_bertimbau,0,head,3,0.22504466772079468
lin_bertimbau,0,head,4,0.22546158730983734
lin_bertimbau,1,upos,0,0.9377903342247009
lin_bertimbau,1,upos,1,0.9374627470970154
lin_bertimbau,1,upos,2,0.9378796815872192
lin_bertimbau,1,upos,3,0.9379987716674805
lin_bertimbau,1,upos,4,0.937641441822052
lin_bertimbau,1,deprel,0,0.7422870993614197
lin_bertimbau,1,deprel,1,0.7420488595962524
lin_bertimbau,1,deprel,2,0.7410065531730652
lin_bertimbau,1,deprel,3,0.7420190572738647
lin_bertimbau,1,deprel,4,0.7419595122337341
lin_bertimbau,1,head,0,0.23686717450618744
lin_bertimbau,1,head,1,0.23642048239707947
lin_bertimbau,1,head,2,0.2359440177679062
lin_bertimbau,1,head,3,0.2385348379611969
lin_bertimbau,1,head,4,0.23832638561725616
lin_bertimbau,2,upos,0,0.9649791717529297
lin_bertimbau,2,upos,1,0.9645324349403381
lin_bertimbau,2,upos,2,0.9642048478126526
lin_bertimbau,2,upos,3,0.9642941951751709
lin_bertimbau,2,upos,4,0.9644133448600769
lin_bertimbau,2,deprel,0,0.7936569452285767
lin_bertimbau,2,deprel,1,0.7932102084159851
lin_bertimbau,2,deprel,2,0.7923763990402222
lin_bertimbau,2,deprel,3,0.7925550937652588
lin_bertimbau,2,deprel,4,0.7914234399795532
lin_bertimbau,2,head,0,0.2602739632129669
lin_bertimbau,2,head,1,0.26232877373695374
lin_bertimbau,2,head,2,0.2608397901058197
lin_bertimbau,2,head,3,0.26354971528053284
lin_bertimbau,2,head,4,0.26244789361953735
lin_bertimbau,3,upos,0,0.9812090396881104
lin_bertimbau,3,upos,1,0.9812090396881104
lin_bertimbau,3,upos,2,0.9810303449630737
lin_bertimbau,3,upos,3,0.9808814525604248
lin_bertimbau,3,upos,4,0.981268584728241
lin_bertimbau,3,deprel,0,0.8593508005142212
lin_bertimbau,3,deprel,1,0.8605419993400574
lin_bertimbau,3,deprel,2,0.8589041233062744
lin_bertimbau,3,deprel,3,0.858278751373291
lin_bertimbau,3,deprel,4,0.8585467338562012
lin_bertimbau,3,head,0,0.28716498613357544
lin_bertimbau,3,head,1,0.28787967562675476
lin_bertimbau,3,head,2,0.2870160639286041
lin_bertimbau,3,head,3,0.2883263826370239
lin_bertimbau,3,head,4,0.28719475865364075
lin_bertimbau,4,upos,0,0.9861226677894592
lin_bertimbau,4,upos,1,0.9857653379440308
lin_bertimbau,4,upos,2,0.9860929250717163
lin_bertimbau,4,upos,3,0.9858546853065491
lin_bertimbau,4,upos,4,0.9861822724342346
lin_bertimbau,4,deprel,0,0.880047619342804
lin_bertimbau,4,deprel,1,0.8792436122894287
lin_bertimbau,4,deprel,2,0.879898726940155
lin_bertimbau,4,deprel,3,0.8793627023696899
lin_bertimbau,4,deprel,4,0.8788862228393555
lin_bertimbau,4,head,0,0.30640262365341187
lin_bertimbau,4,head,1,0.3072960078716278
lin_bertimbau,4,head,2,0.30571767687797546
lin_bertimbau,4,head,3,0.3058367967605591
lin_bertimbau,4,head,4,0.3041691482067108
lin_bertimbau,5,upos,0,0.9896664619445801
lin_bertimbau,5,upos,1,0.9896962642669678
lin_bertimbau,5,upos,2,0.9895771145820618
lin_bertimbau,5,upos,3,0.9897260069847107
lin_bertimbau,5,upos,4,0.9896069169044495
lin_bertimbau,5,deprel,0,0.9117331504821777
lin_bertimbau,5,deprel,1,0.9114055633544922
lin_bertimbau,5,deprel,2,0.9116140604019165
lin_bertimbau,5,deprel,3,0.9108397960662842
lin_bertimbau,5,deprel,4,0.9113162755966187
lin_bertimbau,5,head,0,0.33371055126190186
lin_bertimbau,5,head,1,0.3339785635471344
lin_bertimbau,5,head,2,0.33430612087249756
lin_bertimbau,5,head,3,0.33037522435188293
lin_bertimbau,5,head,4,0.33374032378196716
lin_bertimbau,6,upos,0,0.9914830327033997
lin_bertimbau,6,upos,1,0.9910362958908081
lin_bertimbau,6,upos,2,0.9912745356559753
lin_bertimbau,6,upos,3,0.9910959005355835
lin_bertimbau,6,upos,4,0.9908874034881592
lin_bertimbau,6,deprel,0,0.9350804090499878
lin_bertimbau,6,deprel,1,0.9347826242446899
lin_bertimbau,6,deprel,2,0.9347230195999146
lin_bertimbau,6,deprel,3,0.9338892102241516
lin_bertimbau,6,deprel,4,0.9343954920768738
lin_bertimbau,6,head,0,0.4581000506877899
lin_bertimbau,6,head,1,0.4580107033252716
lin_bertimbau,6,head,2,0.46027398109436035
lin_bertimbau,6,head,3,0.4559856951236725
lin_bertimbau,6,head,4,0.45958903431892395
lin_bertimbau,7,upos,0,0.9918403625488281
lin_bertimbau,7,upos,1,0.9916616678237915
lin_bertimbau,7,upos,2,0.9916616678237915
lin_bertimbau,7,upos,3,0.9919595122337341
lin_bertimbau,7,upos,4,0.9919595122337341
