contrast,metric,a,b,delta,ci_low,ci_high,p_value
biaffine-linear|bertimbau,upos_acc,0.9926742108397856,0.9922275163787969,0.0004466944609886614,-0.00027030416004708845,0.0011706175033030452,0.2482
biaffine-linear|bertimbau,deprel_acc,0.974895771292436,0.9732876712328767,0.0016081000595592476,8.902777258795458e-05,0.0031021672827535197,0.0382
biaffine-linear|bertimbau,uas,0.8983621203097082,0.9374329958308517,-0.03907087552114352,-0.045004519603355914,-0.03330727588817442,0.0001
biaffine-linear|bertimbau,las,0.8870756402620608,0.9248957712924359,-0.03782013103037518,-0.04382671297282731,-0.032014685439072425,0.0001
biaffine-linear|mbert,upos_acc,0.9893388921977367,0.9888326384752829,0.000506253722453831,-0.00039301529362667785,0.0014530089453190563,0.2898
biaffine-linear|mbert,deprel_acc,0.9655449672424062,0.9663490172721858,-0.0008040500297795683,-0.0023848703856018004,0.0008054922643550038,0.3362
biaffine-linear|mbert,uas,0.8691780821917808,0.9270101250744491,-0.0578320428826683,-0.06469588229779069,-0.051019518253077954,0.0001
biaffine-linear|mbert,las,0.8542287075640262,0.91039309112567,-0.05616438356164377,-0.06298909532614667,-0.04939961874548647,0.0001
bertimbau-mbert|linear,upos_acc,0.9922275163787969,0.9888326384752829,0.003394877903514004,0.0024262532206926063,0.004382565294302144,0.0001
bertimbau-mbert|linear,deprel_acc,0.9732876712328767,0.9663490172721858,0.0069386539606909325,0.005192651103764548,0.00871858322335248,0.0001
bertimbau-mbert|linear,uas,0.9374329958308517,0.9270101250744491,0.01042287075640258,0.005201743833703382,0.01569295171752479,0.0001
bertimbau-mbert|linear,las,0.9248957712924359,0.91039309112567,0.014502680166765924,0.009218319631385677,0.019817797213339282,0.0001
bertimbau-mbert|biaffine,upos_acc,0.9926742108397856,0.9893388921977367,0.0033353186420488345,0.002344398011483087,0.0043361283715120606,0.0001
bertimbau-mbert|biaffine,deprel_acc,0.974895771292436,0.9655449672424062,0.009350804050029748,0.0073872293582131375,0.011390725006355745,0.0001
bertimbau-mbert|biaffine,uas,0.8983621203097082,0.8691780821917808,0.029184038117927358,0.021888894999412507,0.03621277875366695,0.0001
bertimbau-mbert|biaffine,las,0.8870756402620608,0.8542287075640262,0.032846932698034514,0.025564910721250566,0.039950633640720795,0.0001
