label,label_idx,n_tokens,forgetting_events,recovery_events,oscillation,learned_forgotten,peak_acc,final_acc,drop
nmod,13,1729,2057,2875,4932,81,0.9566,0.9514,0.0052
obl,9,1132,1895,2773,4668,97,0.9214,0.9037,0.0177
nsubj,1,1243,1344,2452,3796,18,0.9839,0.9791,0.0048
amod,10,927,1122,1978,3100,37,0.9687,0.9547,0.014
obj,3,862,923,1740,2663,21,0.9803,0.971,0.0093
conj,11,630,792,1406,2198,10,0.9841,0.9794,0.0048
flat:name,15,532,678,1184,1862,18,0.9812,0.9624,0.0188
advmod,14,575,628,1187,1815,5,0.9861,0.9843,0.0017
advcl,7,333,559,862,1421,21,0.9219,0.9099,0.012
case,8,2234,499,746,1245,3,0.9987,0.9982,0.0004
mark,6,404,488,884,1372,7,0.9901,0.9802,0.0099
root,2,1144,480,809,1289,19,0.9869,0.9825,0.0044
cc,12,413,439,849,1288,2,0.9976,0.9927,0.0048
xcomp,4,293,349,633,982,5,0.9761,0.9693,0.0068
acl,18,186,339,501,840,19,0.914,0.871,0.043
acl:relcl,20,252,313,563,876,2,0.9921,0.9921,0.0
nummod,19,250,312,558,870,1,0.984,0.984,0.0
cop,17,263,299,560,859,2,0.9962,0.9924,0.0038
appos,25,153,266,403,669,14,0.9542,0.8954,0.0588
det,0,2384,231,415,646,7,0.9979,0.9971,0.0008
parataxis,22,101,213,290,503,15,0.7822,0.7624,0.0198
punct,5,2242,191,374,565,1,1.0,0.9996,0.0004
ccomp,16,139,175,304,479,6,0.9496,0.9281,0.0216
fixed,26,117,141,254,395,4,1.0,0.9658,0.0342
aux:pass,24,110,117,225,342,0,0.9818,0.9818,0.0
expl,32,57,115,170,285,1,0.9825,0.9649,0.0175
ccomp:speech,21,118,109,225,334,0,0.9831,0.9831,0.0
nsubj:pass,27,105,108,209,317,3,0.9714,0.9619,0.0095
aux,28,82,99,176,275,2,0.9634,0.939,0.0244
csubj,23,49,47,92,139,2,0.9184,0.9184,0.0
discourse,33,32,44,72,116,2,0.9375,0.875,0.0625
obl:agent,30,68,39,103,142,4,0.9706,0.9412,0.0294
expl:impers,31,14,31,44,75,1,1.0,0.9286,0.0714
list,41,12,26,31,57,1,0.5,0.4167,0.0833
vocative,39,6,17,21,38,0,0.6667,0.6667,0.0
flat:foreign,37,9,9,18,27,0,1.0,1.0,0.0
orphan,34,9,6,6,12,2,0.2222,0.0,0.2222
nsubj:outer,29,5,1,6,7,0,1.0,1.0,0.0
dislocated,35,8,1,8,9,0,0.875,0.875,0.0
flat,36,10,1,11,12,0,1.0,1.0,0.0
iobj,38,7,1,7,8,0,0.8571,0.8571,0.0
