layer,deprel_acc,uas,las
0,0.08004764740917213,0.04332936271590232,0.008189398451459202
1,0.05530077427039905,0.038117927337701016,0.0017569982132221561
2,0.10148898153662894,0.03853484216795712,0.005002977963073258
3,0.13031566408576534,0.04306134603930911,0.0068195354377605715
4,0.1553901131625968,0.047170935080405006,0.010035735556879095
5,0.21021441334127458,0.05375223347230494,0.01456223942823109
6,0.26220964860035734,0.06685527099463967,0.02117331745086361
7,0.44669446098868376,0.11697438951756998,0.05935080405002978
8,0.7786777843954735,0.21524717093508042,0.17072662298987493
9,0.9486301369863014,0.3353484216795712,0.3219475878499107
10,0.9656343061346039,0.41712328767123286,0.4078022632519357
11,0.9713222156045265,0.7321917808219178,0.7216200119118523
12,0.9733472304943419,0.9351697438951757,0.922275163787969
