layer,upos_acc,deprel_acc,uas,las
0,0.4115544967242406,0.037462775461584275,0.04565217391304348,0.0017569982132221561
1,0.37227516378796904,0.04145324597974985,0.05351399642644431,0.0025908278737343656
2,0.31891006551518764,0.03767123287671233,0.053126861226920785,0.0016974389517569982
3,0.25074449076831445,0.06340083382966051,0.05914234663490173,0.0027099463966646815
4,0.25291840381179276,0.0974687313877308,0.06307325789160215,0.006075044669446099
5,0.285646217986897,0.16232876712328767,0.061465157832042885,0.007861822513400833
6,0.32352590827873734,0.18674806432400237,0.06611078022632519,0.010571768910065515
7,0.3527695056581298,0.2186122692078618,0.06831447290053604,0.013519952352590828
8,0.34175104228707565,0.24580107206670637,0.07266229898749256,0.014919594997022037
9,0.3419297200714711,0.25128052412150087,0.07492555092316855,0.01456223942823109
10,0.40708755211435377,0.279988088147707,0.09380583680762358,0.021888028588445504
11,0.4409767718880286,0.2893984514592019,0.0978856462179869,0.024032162001191185
12,0.4909172126265634,0.3310899344848124,0.1029481834425253,0.054615842763549735
13,0.5027397260273972,0.32552114353782013,0.10583680762358547,0.06503871351995236
14,0.5582191780821918,0.39106611078022635,0.12051816557474687,0.07623585467540203
15,0.6025610482430018,0.4469029184038118,0.12623585467540202,0.08421679571173317
16,0.6953245979749851,0.513787969029184,0.1542584871947588,0.10378201310303753
17,0.7782013103037523,0.6003871351995236,0.2215902322811197,0.15786182251340083
18,0.8951756998213222,0.7436569386539607,0.36545562835020845,0.30291840381179275
19,0.9637879690291841,0.8608100059559262,0.5438356164383562,0.4946396664681358
20,0.9895473496128648,0.8978558665872544,0.7063728409767719,0.6500297796307326
21,0.9780226325193567,0.9221560452650387,0.808129839189994,0.7922572960095294
22,0.9437462775461585,0.9253424657534246,0.848302561048243,0.8370160810005955
23,0.9542287075640262,0.9273079213817749,0.8859142346634902,0.8479749851101847
24,0.9934484812388327,0.9779035139964265,0.9152471709350805,0.9056283502084574
