layer,upos_acc,deprel_acc,uas,las
0,0.19889815366289457,0.17242406194163193,0.025670041691483025,0.005985705777248362
1,0.24234663490172723,0.1841870160810006,0.017957117331745088,0.005836807623585467
2,0.28981536628945803,0.2401131625967838,0.016021441334127456,0.006432400238237046
3,0.2847826086956522,0.21995235259082788,0.010690887432995832,0.004169148302561048
4,0.2745979749851102,0.22927337701012507,0.006759976176295414,0.0026503871351995236
5,0.3246873138773079,0.22840976771888027,0.006789755807027993,0.0022632519356759976
6,0.3715902322811197,0.277724836212031,0.002233472304943419,0.0008040500297796307
7,0.5916914830256105,0.42099463966646816,0.003216200119118523,0.0019654556283502083
8,0.7575342465753425,0.571858248957713,0.007325789160214413,0.0055985705777248365
9,0.8885646217986897,0.8365991661703395,0.04410363311494937,0.039309112567004166
10,0.970935080405003,0.9501786777843955,0.1527099463966647,0.14821322215604527
11,0.9877903513996427,0.9647706968433591,0.6457415128052412,0.634157236450268
12,0.9888326384752829,0.9663490172721858,0.9270101250744491,0.91039309112567
