label,support,acc_emb,acc_final,best_layer_acc,delta_acc_max,best_layer_prob,delta_prob_max,conv_layer
det,4853,0.0148,0.9963,9,0.4033,10,0.4581,10
case,4532,0.5481,0.9971,7,0.1926,10,0.2885,9
punct,4443,0.5192,0.9984,1,0.3273,9,0.251,9
nmod,2607,0.0361,0.949,8,0.6544,9,0.4074,9
nsubj,1895,0.0422,0.9641,8,0.5757,9,0.5049,9
obl,1746,0.0183,0.9318,8,0.5252,10,0.3434,10
root,1683,0.06,0.9804,9,0.5865,9,0.3516,9
obj,1476,0.0217,0.9763,8,0.5793,10,0.265,9
amod,1318,0.0364,0.9697,8,0.5486,10,0.3084,9
advmod,1222,0.0139,0.9673,8,0.3453,9,0.2953,9
conj,960,0.0312,0.951,7,0.3219,8,0.3422,9
cc,833,0.2245,0.9964,7,0.3625,11,0.2772,9
mark,828,0.0024,0.9807,8,0.3454,10,0.389,9
flat:name,686,0.0262,0.9723,7,0.535,9,0.207,7
cop,595,0.2454,0.9933,1,0.3311,10,0.2564,8
xcomp,475,0.0211,0.9579,8,0.52,10,0.3986,10
advcl,437,0.0481,0.9176,9,0.4462,9,0.4249,9
acl:relcl,401,0.0249,0.9551,8,0.3416,10,0.449,10
nummod,341,0.0821,0.9501,7,0.4106,9,0.3589,9
acl,307,0.0195,0.8567,9,0.5896,12,0.2244,11
fixed,230,0.013,0.9783,7,0.313,10,0.3562,9
ccomp,218,0.0229,0.9404,9,0.5872,10,0.3384,10
appos,208,0.0096,0.9279,7,0.3702,9,0.273,9
aux:pass,203,0.0049,1.0,10,0.2759,10,0.4394,10
parataxis,160,0.0312,0.7438,9,0.3,12,0.2316,12
aux,145,0.0069,0.9724,8,0.2828,10,0.2853,10
nsubj:pass,144,0.0,0.9931,8,0.5486,9,0.3935,11
ccomp:speech,130,0.0154,0.9462,8,0.7462,9,0.3576,8
expl,124,0.0,0.9194,7,0.3145,11,0.4692,10
obl:agent,110,0.0,0.9636,8,0.4818,10,0.2231,8
csubj,83,0.012,0.8554,9,0.4578,11,0.2485,9
discourse,51,0.0,0.6863,9,0.2353,11,0.1878,11
