label,support,acc_emb,acc_final,best_layer_acc,delta_acc_max,best_layer_prob,delta_prob_max,conv_layer
det,4853,0.3761,0.9963,1,0.2901,1,0.2311,5
case,4532,0.2513,0.9982,1,0.3405,1,0.2237,9
punct,4443,0.1317,0.9986,1,0.2476,8,0.1916,9
nmod,2607,0.0341,0.9517,8,0.1845,9,0.262,9
nsubj,1895,0.0327,0.9689,8,0.1789,9,0.2457,9
obl,1746,0.0315,0.9376,7,0.2463,9,0.2321,11
root,1683,0.0184,0.9863,12,0.3577,12,0.3582,12
obj,1476,0.0447,0.9763,8,0.3991,8,0.397,10
amod,1318,0.0395,0.9689,6,0.1995,6,0.1554,9
advmod,1222,0.2471,0.9755,2,0.1866,8,0.1687,9
conj,960,0.0438,0.95,7,0.2094,8,0.2226,10
cc,833,0.2617,0.9964,7,0.2989,7,0.2913,9
mark,828,0.122,0.9807,2,0.285,2,0.1583,9
flat:name,686,0.0175,0.9679,7,0.4417,7,0.3785,8
cop,595,0.2874,0.9966,4,0.2235,8,0.222,8
xcomp,475,0.0316,0.9495,8,0.3242,8,0.3671,9
advcl,437,0.0801,0.9268,9,0.2357,9,0.2875,11
acl:relcl,401,0.0274,0.9601,5,0.2195,8,0.2247,9
nummod,341,0.0938,0.9619,2,0.2053,4,0.2158,8
acl,307,0.0195,0.8893,9,0.2638,9,0.3119,12
fixed,230,0.1261,0.9739,7,0.2957,7,0.3492,10
ccomp,218,0.0092,0.9404,9,0.2294,9,0.2686,11
appos,208,0.0144,0.9375,7,0.3365,9,0.2608,10
aux:pass,203,0.0246,0.9901,6,0.5517,6,0.3373,8
parataxis,160,0.0375,0.6875,7,0.225,9,0.2279,10
aux,145,0.0966,0.9724,3,0.3103,6,0.175,9
nsubj:pass,144,0.0347,0.9514,7,0.2639,8,0.2936,10
ccomp:speech,130,0.0154,0.9231,8,0.5154,8,0.3494,11
expl,124,0.3629,0.9274,7,0.2661,8,0.2369,9
obl:agent,110,0.0,0.9909,9,0.3636,9,0.382,10
csubj,83,0.0241,0.9277,7,0.4096,7,0.2822,10
discourse,51,0.0,0.6471,9,0.1961,9,0.1854,12
