label,support,acc_emb,acc_final,best_layer_acc,delta_acc_max,best_layer_prob,delta_prob_max,conv_layer
det,4853,0.0513,0.9953,5,0.3099,7,0.1388,20
case,4532,0.0161,0.9978,3,0.1635,14,0.1276,19
punct,4443,0.086,0.9982,24,0.3698,24,0.3692,24
nmod,2607,0.0207,0.9582,17,0.2183,17,0.2527,18
nsubj,1895,0.0322,0.9736,15,0.171,18,0.1951,19
obl,1746,0.0367,0.9376,18,0.3099,18,0.3095,20
root,1683,0.0321,0.9881,12,0.5995,12,0.3714,20
obj,1476,0.0183,0.981,18,0.4458,18,0.4073,19
amod,1318,0.0197,0.981,16,0.2018,18,0.165,20
advmod,1222,0.0229,0.9763,15,0.1637,18,0.1726,19
conj,960,0.0417,0.9635,17,0.2938,18,0.3078,19
cc,833,0.0408,0.9928,18,0.3938,18,0.3521,19
mark,828,0.0254,0.9855,17,0.2826,18,0.2505,19
flat:name,686,0.0219,0.9738,17,0.3848,17,0.3191,20
cop,595,0.0269,0.9983,10,0.2555,14,0.1661,21
xcomp,475,0.0189,0.9579,18,0.3642,19,0.3421,21
advcl,437,0.0206,0.9176,18,0.3661,18,0.316,20
acl:relcl,401,0.0449,0.9626,18,0.3691,18,0.315,20
nummod,341,0.0616,0.9589,9,0.176,18,0.1947,20
acl,307,0.0293,0.8925,20,0.228,20,0.2721,20
fixed,230,0.0217,0.9739,17,0.2304,17,0.2407,19
ccomp,218,0.0321,0.9541,18,0.3394,19,0.3326,21
appos,208,0.0288,0.9327,18,0.6394,18,0.521,19
aux:pass,203,0.0,0.9951,19,0.4433,20,0.4597,21
parataxis,160,0.0562,0.7812,18,0.2062,20,0.166,23
aux,145,0.0138,0.9793,15,0.3793,20,0.1899,21
nsubj:pass,144,0.0208,0.9861,19,0.4028,19,0.382,21
ccomp:speech,130,0.0154,0.9385,19,0.6385,19,0.6598,21
expl,124,0.0726,0.9274,17,0.2984,17,0.2371,19
obl:agent,110,0.0182,0.9727,19,0.3727,19,0.3318,21
csubj,83,0.012,0.9398,19,0.3373,19,0.317,20
discourse,51,0.0196,0.7451,20,0.3725,20,0.2827,24
