label,support,acc_emb,acc_final,best_layer_acc,delta_acc_max,best_layer_prob,delta_prob_max,conv_layer
3,2112,0.0691,0.9541,9,0.2036,9,0.2197,11
2,1878,0.0548,0.967,9,0.2364,9,0.2395,10
5,1868,0.0803,0.9566,10,0.2725,10,0.2856,11
4,1779,0.0551,0.964,10,0.2344,10,0.2476,11
7,1771,0.0638,0.9407,10,0.214,10,0.2323,11
6,1699,0.0865,0.9541,10,0.2496,10,0.2721,11
0,1683,0.0279,0.9863,12,0.3583,12,0.3857,12
11,1664,0.0523,0.9075,10,0.229,10,0.2399,11
10,1616,0.0693,0.9387,10,0.2481,10,0.2571,11
9,1580,0.0728,0.9481,10,0.2487,10,0.2641,11
8,1566,0.0658,0.9496,10,0.258,10,0.2684,11
13,1391,0.0525,0.8965,10,0.1876,10,0.2007,11
12,1382,0.0507,0.9342,10,0.2352,10,0.2371,11
14,1329,0.0587,0.8977,10,0.2212,10,0.2204,11
16,1139,0.0351,0.9087,10,0.2142,10,0.2136,11
15,1077,0.0334,0.9109,8,0.208,10,0.1954,11
17,937,0.0416,0.8698,10,0.2017,10,0.2124,11
18,808,0.0359,0.854,10,0.2252,10,0.2193,11
1,780,0.0603,0.9282,7,0.1603,8,0.188,10
19,704,0.0369,0.8097,10,0.1818,10,0.1861,12
20,611,0.0327,0.8347,10,0.2226,10,0.2203,12
22,551,0.0399,0.7024,11,0.1597,10,0.1483,11
21,541,0.0591,0.7782,10,0.2015,10,0.2062,11
23,425,0.0776,0.7882,10,0.2047,10,0.1858,12
24,345,0.0406,0.7478,9,0.1652,8,0.1556,12
25,323,0.0155,0.7307,10,0.1703,10,0.1638,11
26,321,0.0249,0.6573,8,0.1651,8,0.1472,11
28,260,0.0308,0.5962,11,0.1308,11,0.1276,12
27,246,0.0163,0.687,8,0.1545,8,0.138,12
29,190,0.0158,0.6421,10,0.1632,10,0.1625,12
31,162,0.0247,0.642,11,0.1296,11,0.1402,12
30,158,0.0506,0.6203,11,0.1329,11,0.1195,12
32,150,0.0267,0.62,10,0.1267,11,0.1165,12
33,106,0.0283,0.5,9,0.1698,9,0.1421,10
