label,support,acc_emb,acc_final,best_layer_acc,delta_acc_max,best_layer_prob,delta_prob_max,conv_layer
3,2112,0.0573,0.9593,19,0.2244,19,0.2135,23
2,1878,0.0548,0.9691,18,0.2551,18,0.2337,23
5,1868,0.0964,0.9668,20,0.1975,20,0.212,23
4,1779,0.0669,0.9618,18,0.1939,20,0.1998,23
7,1771,0.0486,0.9548,20,0.1858,20,0.1979,23
6,1699,0.043,0.9641,20,0.2042,20,0.2126,23
0,1683,0.0469,0.9881,12,0.2115,19,0.2223,20
11,1664,0.0349,0.9405,19,0.1821,19,0.1845,23
10,1616,0.0248,0.9418,19,0.2061,19,0.1946,23
9,1580,0.0462,0.9475,19,0.1962,19,0.1917,23
8,1566,0.0632,0.9547,20,0.1897,20,0.1955,23
13,1391,0.0381,0.9353,19,0.174,19,0.1705,24
12,1382,0.0398,0.9399,19,0.2084,19,0.1911,23
14,1329,0.0331,0.9285,19,0.1768,21,0.1866,23
16,1139,0.0211,0.9052,19,0.2046,19,0.1928,22
15,1077,0.039,0.9099,19,0.1801,21,0.1771,23
17,937,0.0352,0.8965,19,0.1622,19,0.171,23
18,808,0.0433,0.8874,19,0.203,19,0.1843,23
1,780,0.0654,0.9295,18,0.2321,18,0.1999,23
19,704,0.0384,0.8551,19,0.2116,19,0.191,23
20,611,0.036,0.8723,21,0.1948,21,0.1878,23
22,551,0.0309,0.7967,21,0.1851,21,0.1917,23
21,541,0.0314,0.8318,21,0.1664,21,0.1668,22
23,425,0.0306,0.7906,20,0.1506,21,0.1553,24
24,345,0.0377,0.742,20,0.1362,21,0.1453,24
25,323,0.0433,0.7121,20,0.1393,20,0.1412,22
26,321,0.0374,0.7352,19,0.1651,21,0.155,24
28,260,0.0308,0.7115,21,0.1731,21,0.1633,22
27,246,0.0244,0.7073,21,0.1748,21,0.1557,23
29,190,0.0105,0.7632,21,0.1789,21,0.1779,24
31,162,0.0062,0.7346,21,0.1235,22,0.1386,24
30,158,0.0127,0.7089,21,0.1962,21,0.1891,24
32,150,0.02,0.5933,21,0.1733,21,0.1578,22
33,106,0.0283,0.566,21,0.1887,21,0.1342,21
