label,support,acc_emb,acc_final,best_layer_acc,delta_acc_max,best_layer_prob,delta_prob_max,conv_layer
3,2112,0.0223,0.9474,12,0.607,12,0.8349,12
2,1878,0.0138,0.9521,11,0.5511,12,0.635,12
5,1868,0.0375,0.9572,12,0.5294,12,0.7618,12
4,1779,0.0354,0.9578,11,0.5065,12,0.7111,12
7,1771,0.0169,0.9514,11,0.5104,12,0.565,12
6,1699,0.0082,0.9559,11,0.5203,12,0.6043,12
0,1683,0.0119,0.9762,10,0.8746,11,0.8568,11
11,1664,0.012,0.9357,11,0.8383,12,0.7716,12
10,1616,0.0458,0.9524,11,0.828,12,0.7995,12
9,1580,0.0152,0.9513,12,0.6797,12,0.8245,12
8,1566,0.0172,0.9457,10,0.4361,11,0.5569,11
13,1391,0.0158,0.9382,11,0.6772,12,0.6874,12
12,1382,0.0101,0.9508,11,0.7258,12,0.8059,12
14,1329,0.0241,0.936,11,0.7239,12,0.6461,12
16,1139,0.0299,0.9456,11,0.6427,12,0.5656,11
15,1077,0.0269,0.9471,12,0.5042,12,0.7254,12
17,937,0.2241,0.953,11,0.5699,12,0.8039,12
18,808,0.0223,0.9381,12,0.4493,12,0.8152,12
1,780,0.0179,0.8987,11,0.5474,12,0.6531,11
19,704,0.0156,0.9375,11,0.4616,12,0.7049,12
20,611,0.0147,0.9083,11,0.4746,12,0.5489,11
22,551,0.0091,0.8929,12,0.4319,12,0.6776,12
21,541,0.0055,0.9298,12,0.6821,12,0.7459,12
23,425,0.0,0.8659,11,0.5671,12,0.6268,12
24,345,0.0029,0.8812,11,0.8029,12,0.6903,12
25,323,0.0062,0.808,11,0.517,12,0.7389,12
26,321,0.0093,0.8287,11,0.4642,12,0.7372,12
28,260,0.0,0.8115,12,0.7962,12,0.7364,12
27,246,0.1423,0.8171,11,0.6951,12,0.6783,12
29,190,0.0,0.8053,12,0.5105,12,0.6876,12
31,162,0.0,0.5988,12,0.4691,12,0.5293,12
30,158,0.0063,0.7089,11,0.6266,12,0.5127,11
32,150,0.0067,0.68,12,0.5733,12,0.5985,12
33,106,0.0189,0.5472,11,0.4906,12,0.4139,11
