label,support,acc_emb,acc_final,best_layer_acc,delta_acc_max,best_layer_prob,delta_prob_max,conv_layer
NOUN,6309,0.1667,0.9921,5,0.2851,7,0.2231,6
ADP,5019,0.3096,0.9992,2,0.2311,8,0.1292,7
DET,4904,0.1566,0.9969,9,0.3909,10,0.3789,10
PUNCT,4443,0.5192,0.9984,1,0.1303,8,0.1926,9
VERB,3368,0.1354,0.9911,7,0.215,9,0.2897,9
PROPN,2209,0.1145,0.9964,9,0.3671,9,0.4075,9
ADJ,1691,0.0893,0.9746,8,0.5381,9,0.3574,9
PRON,1286,0.0638,0.986,9,0.3305,10,0.2654,10
ADV,1272,0.0244,0.9796,9,0.3451,9,0.2791,10
AUX,968,0.0496,0.9979,2,0.3048,9,0.1892,8
CCONJ,823,0.6197,0.9951,7,0.3499,9,0.1751,9
NUM,622,0.1785,0.9759,7,0.426,9,0.2855,8
SCONJ,456,0.0702,0.9605,9,0.4013,9,0.3875,10
SYM,120,0.0,1.0,5,0.5333,8,0.1988,7
X,85,0.0824,0.7647,5,0.4706,12,0.2512,12
