label,support,acc_emb,acc_final,best_layer_acc,delta_acc_max,best_layer_prob,delta_prob_max,conv_layer
NOUN,6309,0.2742,0.9933,1,0.3822,1,0.1982,7
ADP,5019,0.6133,0.999,2,0.1349,7,0.1536,7
DET,4904,0.7469,0.9967,2,0.1236,3,0.1731,3
PUNCT,4443,0.6847,0.9986,1,0.1792,6,0.1789,6
VERB,3368,0.1384,0.9911,4,0.2179,8,0.1713,7
PROPN,2209,0.1245,0.9959,2,0.2241,5,0.1695,5
ADJ,1691,0.0976,0.9746,3,0.1833,9,0.1897,8
PRON,1286,0.6213,0.9852,6,0.2131,8,0.1799,8
ADV,1272,0.6156,0.9827,7,0.2579,8,0.2599,8
AUX,968,0.7882,1.0,1,0.1198,1,0.2035,2
CCONJ,823,0.8603,0.9951,2,0.0717,7,0.167,7
NUM,622,0.3424,0.9807,1,0.3055,1,0.1877,5
SCONJ,456,0.0987,0.9649,2,0.4276,8,0.177,7
SYM,120,0.675,1.0,1,0.2917,1,0.214,1
X,85,0.0706,0.7529,7,0.3059,12,0.2306,12
