label,layer,acc,mean_gold_prob,support
det,0,0.01483618380383268,0.024767962972227275,4853
det,1,0.00123634865031939,0.01901606827176324,4853
det,2,0.021223985163816197,0.02538058145081643,4853
det,3,0.037914691943127965,0.030880513785859078,4853
det,4,0.03873892437667422,0.03213067227516741,4853
det,5,0.05893261899855759,0.038633990831192996,4853
det,6,0.053575108180506904,0.039056760446129525,4853
det,7,0.30414176797856995,0.08017827533237297,4853
det,8,0.5015454358128992,0.12070727553768415,4853
det,9,0.9048011539254069,0.32361507570944736,4853
det,10,0.9948485472903359,0.7816719144746397,4853
det,11,0.9964970121574284,0.9718015733079902,4853
det,12,0.9962909540490418,0.9963490850831151,4853
nsubj,0,0.04221635883905013,0.024532720103176767,1895
nsubj,1,0.050659630606860157,0.02846213535253342,1895
nsubj,2,0.03430079155672823,0.025930281952490395,1895
nsubj,3,0.0158311345646438,0.02364202349589238,1895
nsubj,4,0.017941952506596307,0.023744217212014588,1895
nsubj,5,0.017941952506596307,0.022427414637427572,1895
nsubj,6,0.008443271767810026,0.02404665829642064,1895
nsubj,7,0.12559366754617415,0.05221508710932645,1895
nsubj,8,0.7013192612137203,0.1835269888290413,1895
nsubj,9,0.9614775725593667,0.6884479618503523,1895
nsubj,10,0.9656992084432717,0.8922233008183456,1895
nsubj,11,0.9651715039577836,0.9506056074123812,1895
nsubj,12,0.9641160949868074,0.9644452475614068,1895
root,0,0.06001188354129531,0.03236500348616889,1683
root,1,0.047534165181224004,0.03344939229428874,1683
root,2,0.0285204991087344,0.02773742664652969,1683
root,3,0.0059417706476530005,0.01996139458776853,1683
root,4,0.0053475935828877,0.019458007766625585,1683
root,5,0.0029708853238265003,0.020389902311782847,1683
root,6,0.0011883541295306002,0.02090312000164852,1683
root,7,0.038027332144979206,0.03618775277738296,1683
root,8,0.37433155080213903,0.07879042953741972,1683
root,9,0.9607843137254902,0.43042333691535306,1683
root,10,0.9744503862150921,0.7188625865928143,1683
root,11,0.9792038027332145,0.9749855111493241,1683
root,12,0.9803921568627451,0.9803626658345286,1683
obj,0,0.02168021680216802,0.0229467262599433,1476
obj,1,0.009485094850948509,0.019894011518624573,1476
obj,2,0.005420054200542005,0.01853868657367198,1476
obj,3,0.006097560975609756,0.018976779298198746,1476
obj,4,0.0033875338753387536,0.018492309952995216,1476
obj,5,0.006775067750677507,0.021791141068810208,1476
obj,6,0.009485094850948509,0.026282704293003514,1476
obj,7,0.2865853658536585,0.06958285046613277,1476
obj,8,0.8658536585365854,0.23271415528190148,1476
obj,9,0.9410569105691057,0.4491708854458334,1476
obj,10,0.9613821138211383,0.7141541446439482,1476
obj,11,0.9769647696476965,0.9562386177854528,1476
obj,12,0.9762872628726287,0.97500869836739,1476
xcomp,0,0.021052631578947368,0.023178311563342026,475
xcomp,1,0.002105263157894737,0.012308646491483638,475
xcomp,2,0.002105263157894737,0.012910412432086703,475
xcomp,3,0.0,0.010803678874048943,475
xcomp,4,0.0,0.011727529054654665,475
xcomp,5,0.0,0.013517555647137526,475
xcomp,6,0.0,0.014526532256583635,475
xcomp,7,0.014736842105263158,0.026663055734120703,475
xcomp,8,0.5347368421052632,0.1032128391865837,475
xcomp,9,0.7621052631578947,0.2099641933429398,475
xcomp,10,0.9157894736842105,0.6085655691146262,475
xcomp,11,0.9536842105263158,0.9232697729749979,475
xcomp,12,0.9578947368421052,0.9530023264484715,475
punct,0,0.5192437542201216,0.07045323628556606,4443
punct,1,0.8465001125365744,0.11686249759367678,4443
punct,2,0.8620301598019356,0.11501019934916312,4443
punct,3,0.878235426513617,0.15352687365982295,4443
punct,4,0.8820616700427639,0.1871400359696674,4443
punct,5,0.9081701553004726,0.21736623579604775,4443
punct,6,0.9227999099707405,0.3247308317616317,4443
punct,7,0.9318028359216746,0.37993136311531395,4443
punct,8,0.9419311276164753,0.5720333588129736,4443
punct,9,0.9691649786180508,0.8230657093721013,4443
punct,10,0.9977492685122665,0.9434925098075078,4443
punct,11,0.9984244879585865,0.9901833758626772,4443
punct,12,0.9984244879585865,0.9984848315411988,4443
mark,0,0.0024154589371980675,0.027817723184378574,828
mark,1,0.004830917874396135,0.032027125508740435,828
mark,2,0.007246376811594203,0.028667788333394496,828
mark,3,0.030193236714975844,0.03690313638676102,828
mark,4,0.04106280193236715,0.04018729646489978,828
mark,5,0.050724637681159424,0.046066845090641385,828
mark,6,0.07004830917874397,0.052548875202141375,828
mark,7,0.27657004830917875,0.07942473369364847,828
mark,8,0.6219806763285024,0.1587964479489801,828
mark,9,0.9516908212560387,0.4914938971976151,828
mark,10,0.9806763285024155,0.880456624312747,828
mark,11,0.9830917874396136,0.9685139525157479,828
mark,12,0.9806763285024155,0.9800232119602413,828
advcl,0,0.04805491990846682,0.02900991486055133,437
advcl,1,0.08009153318077804,0.03632113319401815,437
advcl,2,0.05491990846681922,0.0312562539056796,437
advcl,3,0.02745995423340961,0.024796044532831938,437
advcl,4,0.038901601830663615,0.026720227142454932,437
advcl,5,0.02288329519450801,0.02413547251643123,437
advcl,6,0.05263157894736842,0.032186781865271824,437
advcl,7,0.18764302059496568,0.05386646225402724,437
advcl,8,0.4691075514874142,0.10471880721947012,437
advcl,9,0.9153318077803204,0.5295779466217712,437
advcl,10,0.9450800915331807,0.8500968637415746,437
advcl,11,0.9267734553775744,0.9037557707818635,437
advcl,12,0.9176201372997712,0.9117928379219098,437
case,0,0.5481023830538394,0.06475057266919733,4532
case,1,0.25970873786407767,0.06287888056010466,4532
case,2,0.3647396293027361,0.06410024388810819,4532
case,3,0.4227714033539276,0.08411734863437156,4532
case,4,0.4761694616063548,0.10224611114943606,4532
case,5,0.5584730803177406,0.13080676721291007,4532
case,6,0.6297440423654016,0.17140425817799712,4532
case,7,0.8223742277140336,0.2926376951216319,4532
case,8,0.9132833186231244,0.47635515638926523,4532
case,9,0.9715357458075905,0.6114479216349293,4532
case,10,0.9966902030008826,0.8999269629663668,4532
case,11,0.9973521624007061,0.9862528234399514,4532
case,12,0.9971315092674315,0.9968991290044988,4532
obl,0,0.018327605956471937,0.02095863517888001,1746
obl,1,0.012600229095074456,0.02075589359028506,1746
obl,2,0.001145475372279496,0.01660456028748261,1746
obl,3,0.002290950744558992,0.013142884478710681,1746
obl,4,0.001718213058419244,0.013447989314756669,1746
obl,5,0.003436426116838488,0.01600129557170725,1746
obl,6,0.010882016036655211,0.022194036809735015,1746
obl,7,0.1575028636884307,0.05461009911406585,1746
obl,8,0.6827033218785796,0.19273088653270531,1746
obl,9,0.865979381443299,0.43698203989569573,1746
obl,10,0.9198167239404352,0.7803656984683673,1746
obl,11,0.9249713631156931,0.893160594412187,1746
obl,12,0.93184421534937,0.9307641005286841,1746
amod,0,0.036418816388467376,0.024375719292094995,1318
amod,1,0.08801213960546282,0.042795413495599656,1318
amod,2,0.04552352048558422,0.03080839399892797,1318
amod,3,0.0204855842185129,0.028646320115021617,1318
amod,4,0.009863429438543247,0.0275534172632487,1318
amod,5,0.014415781487101669,0.030759239296021847,1318
amod,6,0.11608497723823975,0.05557166172893879,1318
amod,7,0.287556904400607,0.09398091414997041,1318
amod,8,0.8361153262518968,0.27815263680774543,1318
amod,9,0.9552352048558422,0.53505571525834,1318
amod,10,0.9696509863429439,0.8434516623287884,1318
amod,11,0.9726858877086495,0.9543733085256756,1318
amod,12,0.9696509863429439,0.969516305095188,1318
conj,0,0.03125,0.025368974522886372,960
conj,1,0.04375,0.02924828199368979,960
conj,2,0.029166666666666667,0.025652200650559582,960
conj,3,0.06145833333333333,0.030375664507058295,960
conj,4,0.09895833333333333,0.0369326858635759,960
conj,5,0.15,0.04229415040948273,960
conj,6,0.23854166666666668,0.061462552749920484,960
conj,7,0.5604166666666667,0.17215333332157268,960
conj,8,0.8802083333333334,0.5143418488665096,960
conj,9,0.9479166666666666,0.7798853802591718,960
conj,10,0.9510416666666667,0.8903580297857236,960
conj,11,0.9520833333333333,0.9342901934456279,960
conj,12,0.9510416666666667,0.9503903359780471,960
cc,0,0.22448979591836735,0.043241037860834726,833
cc,1,0.08763505402160865,0.04809732486450282,833
cc,2,0.18127250900360145,0.051732628144511655,833
cc,3,0.36014405762304924,0.08746163161317197,833
cc,4,0.3241296518607443,0.08042298485374018,833
cc,5,0.40936374549819926,0.09256228206887179,833
cc,6,0.34813925570228094,0.09451351109735605,833
cc,7,0.7106842737094838,0.18577691224612752,833
cc,8,0.8907563025210085,0.31218902606602045,833
cc,9,0.9843937575030012,0.5294996100161471,833
cc,10,0.9567827130852341,0.570319135766141,833
cc,11,0.9939975990396158,0.8475421302027258,833
cc,12,0.9963985594237695,0.9966226109233098,833
nmod,0,0.03605677023398542,0.023874792019133916,2607
nmod,1,0.01457614115841964,0.021976074788068883,2607
nmod,2,0.008438818565400843,0.021019963736432962,2607
nmod,3,0.004219409282700422,0.01969737775735793,2607
nmod,4,0.004986574606827772,0.01932195738022436,2607
nmod,5,0.0015343306482546988,0.016810679793567547,2607
nmod,6,0.0034522439585730723,0.02011256390712058,2607
nmod,7,0.19294207901802837,0.06127575300165924,2607
nmod,8,0.8473341004986574,0.280047302406462,2607
