label,layer,acc,mean_gold_prob,support
det,0,0.37605604780548113,0.19489519858710977,4853
det,1,0.6661858644137647,0.42598643409584186,4853
det,2,0.7817844632186276,0.5714936858591472,4853
det,3,0.84463218627653,0.6190638446020267,4853
det,4,0.9196373377292396,0.7369836749356148,4853
det,5,0.9521945188543169,0.8093883834668728,4853
det,6,0.9709458067174943,0.8508295740214824,4853
det,7,0.9734185040181331,0.8452977876304226,4853
det,8,0.9752730269936122,0.8725972294461355,4853
det,9,0.9847516999793942,0.9397056553774156,4853
det,10,0.9927879662064703,0.9812946589643089,4853
det,11,0.9954667216154955,0.9942571096157293,4853
det,12,0.9962909540490418,0.9962065926206606,4853
nsubj,0,0.03271767810026385,0.028245127441534762,1895
nsubj,1,0.07071240105540898,0.05739668559361038,1895
nsubj,2,0.10606860158311346,0.0794747009466378,1895
nsubj,3,0.19894459102902376,0.12413966152869901,1895
nsubj,4,0.33720316622691293,0.19790546441493947,1895
nsubj,5,0.44116094986807386,0.24822833017994061,1895
nsubj,6,0.5804749340369393,0.3394504676700996,1895
nsubj,7,0.6902374670184697,0.42608212998024975,1895
nsubj,8,0.8691292875989446,0.6608377821465364,1895
nsubj,9,0.9577836411609498,0.9065096704736009,1895
nsubj,10,0.9699208443271767,0.9600740828792163,1895
nsubj,11,0.9715039577836412,0.969798988049264,1895
nsubj,12,0.9688654353562005,0.9683215990539312,1895
root,0,0.0184194890077243,0.015870415408052185,1683
root,1,0.0017825311942959,0.007806879195899065,1683
root,2,0.0059417706476530005,0.009923522665239638,1683
root,3,0.0071301247771836,0.013978267391815156,1683
root,4,0.007724301841948901,0.012303325272666461,1683
root,5,0.0011883541295306002,0.007894977319784644,1683
root,6,0.0,0.005876575826383634,1683
root,7,0.0,0.0034201329688475007,1683
root,8,0.0005941770647653001,0.002711090457727183,1683
root,9,0.17647058823529413,0.16849564556860422,1683
root,10,0.43731431966726086,0.4372627934309582,1683
root,11,0.6286393345216874,0.6281384979837844,1683
root,12,0.9863339275103981,0.9863338518510385,1683
obj,0,0.044715447154471545,0.03430941483486919,1476
obj,1,0.03997289972899729,0.03941707773049845,1476
obj,2,0.04607046070460705,0.04082506108851504,1476
obj,3,0.06029810298102981,0.049145093596636436,1476
obj,4,0.046747967479674794,0.04261063460317228,1476
obj,5,0.037940379403794036,0.04050688033967723,1476
obj,6,0.03590785907859079,0.04443356085961282,1476
obj,7,0.4010840108401084,0.23999312026534841,1476
obj,8,0.8001355013550135,0.6369767383757715,1476
obj,9,0.9207317073170732,0.8522420680202505,1476
obj,10,0.962059620596206,0.9442438455626124,1476
obj,11,0.9708672086720868,0.9667107447952595,1476
obj,12,0.9762872628726287,0.9755735869515634,1476
xcomp,0,0.031578947368421054,0.03075739227709978,475
xcomp,1,0.05263157894736842,0.03909215220330991,475
xcomp,2,0.07578947368421053,0.052397654047134846,475
xcomp,3,0.09473684210526316,0.061774832346387774,475
xcomp,4,0.10526315789473684,0.07099468837536206,475
xcomp,5,0.17473684210526316,0.10087175617647039,475
xcomp,6,0.20842105263157895,0.12075790448558492,475
xcomp,7,0.48210526315789476,0.30350691415038644,475
xcomp,8,0.8063157894736842,0.670577104612756,475
xcomp,9,0.9052631578947369,0.8144890317641272,475
xcomp,10,0.9515789473684211,0.9163066379943996,475
xcomp,11,0.9557894736842105,0.9498511516402366,475
xcomp,12,0.9494736842105264,0.9453175358619386,475
punct,0,0.13166779203241052,0.06801526583641285,4443
punct,1,0.379248255683097,0.21424431938390276,4443
punct,2,0.5228449246004951,0.2916354018055128,4443
punct,3,0.4962862930452397,0.28279416645863725,4443
punct,4,0.40940805761872606,0.2723119001497496,4443
punct,5,0.588116137744767,0.39237450376900657,4443
punct,6,0.6657663740715732,0.45662479599559364,4443
punct,7,0.7474679270762998,0.5247182089012392,4443
punct,8,0.8737339635381499,0.7163321989460883,4443
punct,9,0.9633130767499437,0.8892711568556276,4443
punct,10,0.9950483907269863,0.980790385128618,4443
punct,11,0.9981994148098132,0.9972434584491892,4443
punct,12,0.9986495611073599,0.998608880707539,4443
mark,0,0.12198067632850242,0.06720975959609604,828
mark,1,0.06038647342995169,0.05750466545944307,828
mark,2,0.34541062801932365,0.2158062507153856,828
mark,3,0.5398550724637681,0.36439591900592866,828
mark,4,0.6352657004830918,0.4849100225874457,828
mark,5,0.6388888888888888,0.4716034883685348,828
mark,6,0.7922705314009661,0.5596699948726432,828
mark,7,0.8659420289855072,0.6780617933386786,828
mark,8,0.9142512077294686,0.8096254025958484,828
mark,9,0.964975845410628,0.9287420607170648,828
mark,10,0.9806763285024155,0.9704821409647213,828
mark,11,0.9842995169082126,0.980803597143633,828
mark,12,0.9806763285024155,0.9814485538403156,828
advcl,0,0.08009153318077804,0.05308832048351669,437
advcl,1,0.12585812356979406,0.07593736946599694,437
advcl,2,0.10068649885583524,0.06893962623866635,437
advcl,3,0.09382151029748284,0.0663195062893652,437
advcl,4,0.09610983981693363,0.0679296032848838,437
advcl,5,0.10526315789473684,0.07551364755401552,437
advcl,6,0.15331807780320367,0.09434143313836693,437
advcl,7,0.2471395881006865,0.1441932077838539,437
advcl,8,0.39588100686498856,0.2696199618718556,437
advcl,9,0.631578947368421,0.5571568467340112,437
advcl,10,0.8146453089244852,0.7606934818833081,437
advcl,11,0.8924485125858124,0.8901616048268474,437
advcl,12,0.9267734553775744,0.9249642413776331,437
case,0,0.25132391879964694,0.12750375952314572,4532
case,1,0.5917917034421889,0.35124560492900614,4532
case,2,0.5244924977934686,0.3437413378714382,4532
case,3,0.4631509267431598,0.26595053784468065,4532
case,4,0.649602824360106,0.40621815265329025,4532
case,5,0.7054280670785525,0.4415298247319584,4532
case,6,0.7007943512797882,0.4427257946239204,4532
case,7,0.8819505736981466,0.6323089079920281,4532
case,8,0.9452780229479258,0.7969487019250866,4532
case,9,0.9865401588702559,0.9454133275332395,4532
case,10,0.9969108561341571,0.9872868882356554,4532
case,11,0.997793468667255,0.9964368538561434,4532
case,12,0.9982347749338041,0.9980350837102306,4532
obl,0,0.03150057273768614,0.02867497146066233,1746
obl,1,0.053837342497136315,0.04468734338900765,1746
obl,2,0.05211912943871707,0.046482121994581176,1746
obl,3,0.08705612829324169,0.06786258450641874,1746
obl,4,0.10252004581901489,0.08220881514185574,1746
obl,5,0.15807560137457044,0.11693984890099092,1746
obl,6,0.28235967926689576,0.17726442616090926,1746
obl,7,0.5286368843069874,0.36355248101697774,1746
obl,8,0.6145475372279496,0.4968633925428837,1746
obl,9,0.7835051546391752,0.7289680391263159,1746
obl,10,0.86368843069874,0.84928532371615,1746
obl,11,0.9238258877434136,0.921687973770074,1746
obl,12,0.9375715922107675,0.936886417290578,1746
amod,0,0.03945371775417299,0.03221145882452191,1318
amod,1,0.09256449165402124,0.06717996011853516,1318
amod,2,0.2526555386949924,0.15441919899537435,1318
amod,3,0.4301972685887709,0.24250477650565394,1318
amod,4,0.460546282245827,0.2854141721024361,1318
amod,5,0.5523520485584219,0.3557611899507434,1318
amod,6,0.7518968133535661,0.5112099501552352,1318
amod,7,0.8619119878603946,0.6632189085724988,1318
amod,8,0.8968133535660091,0.7610459726594657,1318
amod,9,0.956752655538695,0.9142305481729042,1318
amod,10,0.9719271623672231,0.9592372177288017,1318
amod,11,0.9704097116843703,0.9666564057101268,1318
amod,12,0.9688922610015175,0.9690532793409251,1318
conj,0,0.04375,0.03398367399912854,960
conj,1,0.096875,0.06201911572667693,960
conj,2,0.115625,0.07493951209262756,960
conj,3,0.20104166666666667,0.12389722270722435,960
conj,4,0.3229166666666667,0.19899992329818966,960
conj,5,0.38958333333333334,0.2517241456150477,960
conj,6,0.36875,0.24104812981189147,960
conj,7,0.578125,0.43749560818409916,960
conj,8,0.7510416666666667,0.6600670126816719,960
conj,9,0.878125,0.8482371169115607,960
conj,10,0.9291666666666667,0.9212106406946003,960
conj,11,0.946875,0.9428017913855216,960
conj,12,0.95,0.9499580870161534,960
cc,0,0.2617046818727491,0.1365948978803886,833
cc,1,0.5414165666266506,0.28927503592922493,833
cc,2,0.6842737094837935,0.4743170366293526,833
cc,3,0.673469387755102,0.46752070313751093,833
cc,4,0.5966386554621849,0.4066010337898179,833
cc,5,0.5678271308523409,0.3668401254069569,833
cc,6,0.5990396158463386,0.3684797018203473,833
cc,7,0.8979591836734694,0.6597720061745022,833
cc,8,0.9195678271308524,0.7754589067470161,833
cc,9,0.9711884753901561,0.9072002004309959,833
cc,10,0.992797118847539,0.9751856919000147,833
cc,11,0.9951980792316927,0.9927097883775365,833
cc,12,0.9963985594237695,0.9963726687684666,833
nmod,0,0.03413885692366705,0.03006282319580109,2607
nmod,1,0.13540467970847717,0.08529105734502322,2607
nmod,2,0.2642884541618719,0.1640791015668839,2607
nmod,3,0.3003452243958573,0.18087685400011277,2607
nmod,4,0.39509014192558495,0.25397512487607027,2607
nmod,5,0.4626006904487917,0.288548855202565,2607
nmod,6,0.48638281549673956,0.3042612073724439,2607
nmod,7,0.5769083237437668,0.4083606883926948,2607
nmod,8,0.7614115841963943,0.5913510917895178,2607
nmod,9,0.9217491369390104,0.8533460455835786,2607
nmod,10,0.9478327579593402,0.9286564349264731,2607
nmod,11,0.9436133486766398,0.9399349167398305,2607
nmod,12,0.9516685845799769,0.9510320845260447,2607
advmod,0,0.24713584288052373,0.15754662292358185,1222
advmod,1,0.3281505728314239,0.21422873154438354,1222
advmod,2,0.5147299509001637,0.34040264075682053,1222
advmod,3,0.5523731587561375,0.34624207219579173,1222
advmod,4,0.6636661211129297,0.4583438808215875,1222
advmod,5,0.7463175122749591,0.5114094141070299,1222
advmod,6,0.7495908346972177,0.536713930820577,1222
advmod,7,0.8011456628477905,0.6110209136864043,1222
advmod,8,0.900163666121113,0.7797708159477821,1222
advmod,9,0.9427168576104746,0.896585897610671,1222
advmod,10,0.9590834697217676,0.9343425555577398,1222
advmod,11,0.969721767594108,0.9605943185638416,1222
advmod,12,0.9754500818330606,0.9741715378997933,1222
flat:name,0,0.01749271137026239,0.02053559818002847,686
flat:name,1,0.007288629737609329,0.019490647793925033,686
flat:name,2,0.023323615160349854,0.032995333323749564,686
flat:name,3,0.07142857142857142,0.06546332265829746,686
flat:name,4,0.11807580174927114,0.10533989027915346,686
flat:name,5,0.21865889212827988,0.14623949042717083,686
flat:name,6,0.3498542274052478,0.24476104822254935,686
flat:name,7,0.7915451895043731,0.6232724198822065,686
flat:name,8,0.9358600583090378,0.8338473076974897,686
flat:name,9,0.9518950437317785,0.9168637880116006,686
flat:name,10,0.9577259475218659,0.9475844022311881,686
flat:name,11,0.9708454810495627,0.9688839109338048,686
flat:name,12,0.967930029154519,0.9672836371510012,686
ccomp,0,0.009174311926605505,0.016386539244945823,218
ccomp,1,0.0045871559633027525,0.01752330011973804,218
ccomp,2,0.013761467889908258,0.017620716578659677,218
ccomp,3,0.009174311926605505,0.018172590406729045,218
ccomp,4,0.009174311926605505,0.024701236975046195,218
ccomp,5,0.03211009174311927,0.04889429776903019,218
ccomp,6,0.0963302752293578,0.07429236070498067,218
ccomp,7,0.3073394495412844,0.17899416912338534,218
ccomp,8,0.5321100917431193,0.39691642006760924,218
ccomp,9,0.7614678899082569,0.6655056478702711,218
ccomp,10,0.8807339449541285,0.8369622229513487,218
ccomp,11,0.9036697247706422,0.8995568643645473,218
ccomp,12,0.9403669724770642,0.9414965038358883,218
cop,0,0.28739495798319326,0.11913382790218686,595
cop,1,0.42857142857142855,0.26174391815331255,595
cop,2,0.4672268907563025,0.26844808753646376,595
cop,3,0.5159663865546219,0.28307628704395393,595
cop,4,0.7394957983193278,0.46528268881042356,595
cop,5,0.8201680672268907,0.5206468773265763,595
cop,6,0.838655462184874,0.5744132922224685,595
cop,7,0.8689075630252101,0.6198425157473054,595
cop,8,0.957983193277311,0.8418569144127624,595
cop,9,0.984873949579832,0.9377931978313272,595
cop,10,0.9915966386554622,0.9858581504944901,595
cop,11,0.9932773109243698,0.992009004829608,595
