label,layer,acc,mean_gold_prob,support
det,0,0.017720997321244592,0.023027813645505248,4853
det,1,0.015454358128992375,0.021845384521946537,4853
det,2,0.02637543787348032,0.020604934518595762,4853
det,3,0.014218009478672985,0.0176117939507588,4853
det,4,0.025757263548320627,0.02108994922591024,4853
det,5,0.017720997321244592,0.015096743647671003,4853
det,6,0.014218009478672985,0.013250432198178036,4853
det,7,0.06037502575726355,0.031053403742876247,4853
det,8,0.08530805687203792,0.03884168796500678,4853
det,9,0.10735627446940037,0.04478964642286909,4853
det,10,0.3828559653822378,0.18508623429800236,4853
det,11,0.9486915310117453,0.8244979873491857,4853
det,12,0.9944364310735627,0.9944952192599692,4853
nsubj,0,0.04327176781002638,0.036384243217282036,1895
nsubj,1,0.03324538258575198,0.028561931308173843,1895
nsubj,2,0.0158311345646438,0.022042042836415202,1895
nsubj,3,0.008443271767810026,0.014723187397956371,1895
nsubj,4,0.00949868073878628,0.01361786643360394,1895
nsubj,5,0.0021108179419525065,0.007248518966198245,1895
nsubj,6,0.0031662269129287598,0.006183175227362435,1895
nsubj,7,0.013720316622691292,0.012730952517538079,1895
nsubj,8,0.02691292875989446,0.017306185719460392,1895
nsubj,9,0.04591029023746702,0.024123721373197238,1895
nsubj,10,0.3941952506596306,0.24467590389079433,1895
nsubj,11,0.8897097625329815,0.7765270388646284,1895
nsubj,12,0.9530343007915567,0.9526559011003024,1895
root,0,0.0314913844325609,0.020047353721859718,1683
root,1,0.026143790849673203,0.02153836489441926,1683
root,2,0.036244800950683304,0.0232788684602791,1683
root,3,0.0196078431372549,0.01873225181852253,1683
root,4,0.013666072489601902,0.017072294129482773,1683
root,5,0.0106951871657754,0.016681730955389648,1683
root,6,0.008912655971479501,0.020237552660922618,1683
root,7,0.016636957813428402,0.025669912885892383,1683
root,8,0.036244800950683304,0.03569574943021826,1683
root,9,0.06001188354129531,0.046227352898640196,1683
root,10,0.19013666072489602,0.09170499662361933,1683
root,11,0.5377302436125966,0.3759459484154677,1683
root,12,0.9774212715389186,0.9774212157463289,1683
obj,0,0.03523035230352303,0.02960856910498032,1476
obj,1,0.03523035230352303,0.02655289010801036,1476
obj,2,0.03861788617886179,0.02639066689970282,1476
obj,3,0.03997289972899729,0.02943769457355977,1476
obj,4,0.027777777777777776,0.02695707631965299,1476
obj,5,0.008130081300813009,0.0182622126908612,1476
obj,6,0.0020325203252032522,0.01504526079242388,1476
obj,7,0.005420054200542005,0.01345995295867065,1476
obj,8,0.041327913279132794,0.022756660233890825,1476
obj,9,0.09010840108401084,0.04113147732878986,1476
obj,10,0.3814363143631436,0.18865960788629932,1476
obj,11,0.9193766937669376,0.7980857800335739,1476
obj,12,0.9586720867208672,0.9590528739747352,1476
xcomp,0,0.021052631578947368,0.025075676108964745,475
xcomp,1,0.021052631578947368,0.022589701517204765,475
xcomp,2,0.016842105263157894,0.021424228617864794,475
xcomp,3,0.01263157894736842,0.019790192943718896,475
xcomp,4,0.010526315789473684,0.017640003733869983,475
xcomp,5,0.01263157894736842,0.013242034480484251,475
xcomp,6,0.00631578947368421,0.010559458399603547,475
xcomp,7,0.01263157894736842,0.01633909413836495,475
xcomp,8,0.07368421052631578,0.032216766805925987,475
xcomp,9,0.11789473684210526,0.052289390454243405,475
xcomp,10,0.5031578947368421,0.27769285990026366,475
xcomp,11,0.9031578947368422,0.8244669553581825,475
xcomp,12,0.9284210526315789,0.9268257811371017,475
punct,0,0.07089804186360567,0.04447315638614307,4443
punct,1,0.02880936304298897,0.02670489063366432,4443
punct,2,0.04456448345712356,0.031009191266680374,4443
punct,3,0.024758046365068648,0.017943747751430626,4443
punct,4,0.017780778753094757,0.01565233920051981,4443
punct,5,0.022732388026108486,0.015069255053281992,4443
punct,6,0.03443619176232275,0.0182323364509213,4443
punct,7,0.08507765023632681,0.03293137550330313,4443
punct,8,0.06099482331757821,0.028348917212015972,4443
punct,9,0.08597794283142021,0.03849527718830434,4443
punct,10,0.2446545127166329,0.12376388684624043,4443
punct,11,0.784154850326356,0.6081687788245336,4443
punct,12,0.9984244879585865,0.998522941943156,4443
mark,0,0.027777777777777776,0.03594223960132787,828
mark,1,0.030193236714975844,0.028778548599194362,828
mark,2,0.025362318840579712,0.02624349826599489,828
mark,3,0.01570048309178744,0.01826756854172459,828
mark,4,0.010869565217391304,0.016298490718615017,828
mark,5,0.01570048309178744,0.015710351273933398,828
mark,6,0.01570048309178744,0.013359620385624358,828
mark,7,0.026570048309178744,0.01747798918962925,828
mark,8,0.049516908212560384,0.025974081311795964,828
mark,9,0.06642512077294686,0.030271554505810424,828
mark,10,0.3272946859903382,0.18210063415605307,828
mark,11,0.8780193236714976,0.7535764228186568,828
mark,12,0.9685990338164251,0.9662502650351505,828
advcl,0,0.02517162471395881,0.022705288912981514,437
advcl,1,0.02288329519450801,0.021250863897976015,437
advcl,2,0.018306636155606407,0.019366539015190396,437
advcl,3,0.002288329519450801,0.014164207105369529,437
advcl,4,0.0,0.011924305933331047,437
advcl,5,0.0,0.00962490773582229,437
advcl,6,0.004576659038901602,0.011096887683446063,437
advcl,7,0.004576659038901602,0.015019390478005386,437
advcl,8,0.018306636155606407,0.017617993097368924,437
advcl,9,0.057208237986270026,0.029230631921976138,437
advcl,10,0.35697940503432496,0.17617878013048577,437
advcl,11,0.8032036613272311,0.7246694424721313,437
