label,layer,acc,mean_gold_prob,support
det,0,0.00288481351741191,0.023811030308421903,4853
det,1,0.024726973006387803,0.04104522971734604,4853
det,2,0.07026581495981866,0.0470813162372095,4853
det,3,0.06490830414176797,0.04413405698797495,4853
det,4,0.183803832680816,0.06389628471312006,4853
det,5,0.11704100556356893,0.05533343500116302,4853
det,6,0.15536781372347003,0.05498109970825373,4853
det,7,0.2802390274057284,0.07678886414934452,4853
det,8,0.3657531423861529,0.09401616002669047,4853
det,9,0.711518648258809,0.21870596886184715,4853
det,10,0.9793941891613435,0.6372244393869632,4853
det,11,0.995260663507109,0.9699866907686658,4853
det,12,0.9948485472903359,0.9947396878475538,4853
nsubj,0,0.03535620052770449,0.02410207750628356,1895
nsubj,1,0.12506596306068601,0.0511851942680265,1895
nsubj,2,0.38153034300791555,0.08854328661783546,1895
nsubj,3,0.6485488126649076,0.13747523786072524,1895
nsubj,4,0.7419525065963061,0.16071722791837356,1895
nsubj,5,0.8664907651715039,0.20768972406149067,1895
nsubj,6,0.9456464379947229,0.3156733180585472,1895
nsubj,7,0.9540897097625329,0.3770118155283239,1895
nsubj,8,0.9530343007915567,0.42774903787039514,1895
nsubj,9,0.9699208443271767,0.7169258587809383,1895
nsubj,10,0.9567282321899736,0.8376053290406001,1895
nsubj,11,0.9540897097625329,0.9333296871319379,1895
nsubj,12,0.9546174142480212,0.9552829792124404,1895
root,0,0.009506833036244802,0.017224201368595753,1683
root,1,0.0029708853238265003,0.014577096817803038,1683
root,2,0.0,0.014153002322274047,1683
root,3,0.0,0.011835784707852019,1683
root,4,0.0005941770647653001,0.011224699621678142,1683
root,5,0.0,0.010409124719894277,1683
root,6,0.0,0.010308015544163378,1683
root,7,0.010101010101010102,0.02510010212907746,1683
root,8,0.12299465240641712,0.0527881570553282,1683
root,9,0.8865121806298277,0.2125302934796404,1683
root,10,0.9750445632798574,0.6900252879836442,1683
root,11,0.9768270944741533,0.9700260840121958,1683
root,12,0.9750445632798574,0.9742656988031347,1683
obj,0,0.046747967479674794,0.03319180028217777,1476
obj,1,0.06233062330623306,0.03929305600199904,1476
obj,2,0.03319783197831978,0.029970390811123376,1476
obj,3,0.0040650406504065045,0.01699862482567598,1476
obj,4,0.0006775067750677507,0.016915916111717774,1476
obj,5,0.0,0.014248585772194565,1476
obj,6,0.0,0.013535950491491953,1476
obj,7,0.012195121951219513,0.0293494415905473,1476
obj,8,0.29065040650406504,0.07159794969911697,1476
obj,9,0.9024390243902439,0.29321342904223535,1476
obj,10,0.9546070460704607,0.7095137262275757,1476
obj,11,0.9613821138211383,0.937209511148319,1476
obj,12,0.9586720867208672,0.9587948210912506,1476
xcomp,0,0.03368421052631579,0.02395061777120358,475
xcomp,1,0.002105263157894737,0.01613999561651757,475
xcomp,2,0.0,0.010851430782778679,475
xcomp,3,0.002105263157894737,0.007904512003848427,475
xcomp,4,0.0,0.007873976459775708,475
xcomp,5,0.0,0.007267844475511658,475
xcomp,6,0.0,0.006970948261257849,475
xcomp,7,0.0,0.011354638906931015,475
xcomp,8,0.00631578947368421,0.026525466265647033,475
xcomp,9,0.32,0.07946741353426325,475
xcomp,10,0.7873684210526316,0.25347390976146256,475
xcomp,11,0.9221052631578948,0.8701076824282944,475
xcomp,12,0.9242105263157895,0.9201350278855591,475
punct,0,0.36979518343461626,0.05303640973923177,4443
punct,1,0.37069547602970965,0.06673908472646405,4443
punct,2,0.6614899842448796,0.08597219187071228,4443
punct,3,0.44519468827368897,0.08306392267731656,4443
punct,4,0.47602970965563807,0.09031307209667129,4443
punct,5,0.5338735088903894,0.11639919442141644,4443
punct,6,0.6574386675669592,0.18472936470082502,4443
punct,7,0.9002925950934053,0.2480229201115376,4443
punct,8,0.950033760972316,0.4720086396728218,4443
punct,9,0.966689173981544,0.5972057046096637,4443
punct,10,0.9975241953634931,0.9095314081921649,4443
punct,11,0.9988746342561332,0.9898783596033444,4443
punct,12,0.9986495611073599,0.9985439438853255,4443
mark,0,0.03140096618357488,0.0314982616464081,828
mark,1,0.008454106280193236,0.02561541278126699,828
mark,2,0.0012077294685990338,0.02067760476850396,828
mark,3,0.0,0.015320177194504922,828
mark,4,0.0012077294685990338,0.018402793611864365,828
mark,5,0.0,0.016271438375807138,828
mark,6,0.0,0.01460316420468369,828
mark,7,0.08454106280193237,0.05048809749969047,828
mark,8,0.2584541062801932,0.1073174249816119,828
mark,9,0.40700483091787437,0.21351164847343557,828
mark,10,0.9565217391304348,0.7358175620134664,828
mark,11,0.9722222222222222,0.9315118853512262,828
mark,12,0.967391304347826,0.9665513301225923,828
advcl,0,0.004576659038901602,0.01657797642839642,437
advcl,1,0.0,0.013451884144643276,437
advcl,2,0.002288329519450801,0.013798507051281333,437
advcl,3,0.0,0.01425724466053185,437
advcl,4,0.0,0.015312011548141082,437
advcl,5,0.0,0.013381187436415962,437
advcl,6,0.0,0.013157058552757877,437
advcl,7,0.004576659038901602,0.022471046874947522,437
advcl,8,0.18306636155606407,0.061816537869962045,437
advcl,9,0.6727688787185355,0.18513475307444582,437
advcl,10,0.8741418764302059,0.6595069720469483,437
advcl,11,0.8901601830663616,0.8718698675353898,437
advcl,12,0.8741418764302059,0.8744602513897461,437
case,0,0.7974404236540159,0.1996455208880503,4532
case,1,0.8605472197705207,0.26687106806912275,4532
case,2,0.8351721094439541,0.2031304259706019,4532
case,3,0.7797881729920565,0.1465362611228587,4532
case,4,0.6370255957634599,0.1277325090651983,4532
case,5,0.5781112091791704,0.12384113903006988,4532
case,6,0.6996910856134158,0.15421264797892167,4532
case,7,0.9375551632833187,0.3360326027640266,4532
case,8,0.9702118270079435,0.47345343766894704,4532
case,9,0.9808031774051191,0.5541929243525386,4532
case,10,0.9951456310679612,0.798303459781458,4532
case,11,0.9951456310679612,0.9673262348268511,4532
case,12,0.9958075904677847,0.9957825302857963,4532
obl,0,0.03493699885452463,0.02862470339994903,1746
obl,1,0.018327605956471937,0.02408535507433479,1746
obl,2,0.022336769759450172,0.024610193192578515,1746
obl,3,0.009163802978235968,0.022891720068397774,1746
obl,4,0.004009163802978236,0.019585746807048367,1746
obl,5,0.001145475372279496,0.020014039471741223,1746
obl,6,0.001718213058419244,0.022063557591576254,1746
obl,7,0.0286368843069874,0.036621759326398835,1746
obl,8,0.37056128293241697,0.09451159397150813,1746
obl,9,0.8619702176403208,0.33937932974269525,1746
obl,10,0.9226804123711341,0.7285750514730589,1746
obl,11,0.9215349369988545,0.901220978031974,1746
obl,12,0.9169530355097365,0.9152900728580105,1746
amod,0,0.05007587253414264,0.032383318031234995,1318
amod,1,0.04931714719271624,0.03765456032543903,1318
amod,2,0.05614567526555387,0.04097579281716374,1318
amod,3,0.042488619119878605,0.03716306428871773,1318
amod,4,0.06600910470409711,0.04247821698098462,1318
amod,5,0.042488619119878605,0.04221286968528032,1318
amod,6,0.03186646433990895,0.04648366081581362,1318
amod,7,0.38694992412746587,0.09226918233822104,1318
amod,8,0.6889226100151745,0.15361849060094857,1318
amod,9,0.8793626707132018,0.2848946514349252,1318
amod,10,0.9575113808801214,0.7093311850364247,1318
amod,11,0.9552352048558422,0.9442842564208292,1318
amod,12,0.9544764795144158,0.9537013016036582,1318
conj,0,0.041666666666666664,0.027097135592703124,960
conj,1,0.00625,0.018929706361086575,960
conj,2,0.0020833333333333333,0.01494362498500171,960
conj,3,0.0,0.011683441328811266,960
conj,4,0.0,0.012512262896658891,960
conj,5,0.0,0.011890656287444774,960
conj,6,0.0,0.010004334851085634,960
conj,7,0.010416666666666666,0.030267160882552466,960
conj,8,0.44166666666666665,0.10868217416148886,960
conj,9,0.8395833333333333,0.3108566004120803,960
conj,10,0.94375,0.7403610883503158,960
conj,11,0.9395833333333333,0.9184581720954592,960
conj,12,0.934375,0.9297717403462015,960
cc,0,0.028811524609843937,0.027454020964744245,833
cc,1,0.013205282112845138,0.03637823044481192,833
cc,2,0.004801920768307323,0.036799861137902797,833
cc,3,0.004801920768307323,0.026587189488797163,833
cc,4,0.007202881152460984,0.03084804994777507,833
cc,5,0.003601440576230492,0.02835332482129711,833
cc,6,0.003601440576230492,0.033899512055854335,833
cc,7,0.2689075630252101,0.08678404156941505,833
cc,8,0.60984393757503,0.19878563247531617,833
cc,9,0.8523409363745498,0.37694622031977626,833
cc,10,0.943577430972389,0.597165976947851,833
cc,11,0.9939975990396158,0.9265788519398772,833
cc,12,0.9939975990396158,0.9941201899010905,833
nmod,0,0.022247794399693134,0.023545821620771033,2607
nmod,1,0.002685078634445723,0.013739602380915534,2607
nmod,2,0.006137322593018795,0.017176905936864464,2607
nmod,3,0.009973149213655544,0.023481808034397696,2607
nmod,4,0.004602991944764097,0.023211566477961836,2607
nmod,5,0.0023014959723820483,0.02373722802565762,2607
nmod,6,0.0038358266206367474,0.028517857858322428,2607
nmod,7,0.08553893364019946,0.04922841766175407,2607
nmod,8,0.3816647487533564,0.08810787965816141,2607
nmod,9,0.9102416570771001,0.459264511818825,2607
nmod,10,0.9275028768699655,0.7489764870508454,2607
nmod,11,0.934023782125048,0.914356459832212,2607
nmod,12,0.9424626006904487,0.9398176372591027,2607
advmod,0,0.014729950900163666,0.02214690459423063,1222
advmod,1,0.0057283142389525366,0.01787370152982202,1222
advmod,2,0.0,0.017201006217043634,1222
advmod,3,0.011456628477905073,0.02404641328015976,1222
advmod,4,0.014729950900163666,0.02945981875333307,1222
advmod,5,0.023731587561374796,0.03828429646710766,1222
advmod,6,0.04991816693944354,0.049178171447522435,1222
advmod,7,0.20703764320785598,0.0691963626542807,1222
advmod,8,0.45499181669394434,0.13056580860086955,1222
advmod,9,0.7356792144026186,0.2251309142027884,1222
advmod,10,0.9034369885433715,0.42334688739488535,1222
advmod,11,0.9541734860883797,0.8873569346005,1222
advmod,12,0.9664484451718495,0.9645401177241612,1222
flat:name,0,0.03644314868804665,0.0276227987727504,686
flat:name,1,0.04081632653061224,0.032242663564861676,686
flat:name,2,0.023323615160349854,0.029574072379371118,686
flat:name,3,0.0058309037900874635,0.02108674657204577,686
flat:name,4,0.0058309037900874635,0.022165160314261415,686
flat:name,5,0.0014577259475218659,0.023736661285129388,686
flat:name,6,0.029154518950437316,0.046741699016552535,686
flat:name,7,0.5889212827988338,0.1229610439951996,686
flat:name,8,0.8119533527696793,0.2280230832472172,686
flat:name,9,0.8892128279883382,0.3451817304054791,686
flat:name,10,0.9620991253644315,0.7567884824873402,686
flat:name,11,0.9708454810495627,0.9600114992879716,686
flat:name,12,0.9737609329446064,0.9752095138994699,686
ccomp,0,0.027522935779816515,0.021063337162342093,218
ccomp,1,0.0045871559633027525,0.017093639706000856,218
ccomp,2,0.009174311926605505,0.015630768472115177,218
ccomp,3,0.0,0.016079621108616233,218
ccomp,4,0.0,0.016882537853468313,218
ccomp,5,0.0,0.0155227848749454,218
ccomp,6,0.0,0.01324140093793426,218
ccomp,7,0.0,0.018586500661037522,218
ccomp,8,0.013761467889908258,0.03197180894587975,218
ccomp,9,0.42660550458715596,0.10752387211974197,218
ccomp,10,0.8990825688073395,0.4826379798089983,218
ccomp,11,0.9220183486238532,0.878339557870577,218
ccomp,12,0.9357798165137615,0.9288600858700033,218
cop,0,0.0067226890756302525,0.02450120003205262,595
cop,1,0.0067226890756302525,0.0285396608312716,595
cop,2,0.07058823529411765,0.04194260493093053,595
cop,3,0.2319327731092437,0.06538169281948514,595
cop,4,0.2857142857142857,0.07453494023281236,595
cop,5,0.27899159663865547,0.08151111073103272,595
cop,6,0.3663865546218487,0.1031053397851456,595
cop,7,0.5949579831932773,0.15183653027100974,595
cop,8,0.7663865546218488,0.22135011419779113,595
cop,9,0.8907563025210085,0.2954369465726576,595
cop,10,0.9815126050420168,0.7168432808535941,595
cop,11,0.9815126050420168,0.9311997750971639,595
cop,12,0.9831932773109243,0.9839051235427575,595
acl,0,0.016286644951140065,0.020588953778714985,307
acl,1,0.003257328990228013,0.015169757338133048,307
acl,2,0.013029315960912053,0.019946955471278352,307
acl,3,0.009771986970684038,0.02385892679214065,307
acl,4,0.003257328990228013,0.019601678043066947,307
acl,5,0.0,0.019999989293248723,307
acl,6,0.003257328990228013,0.023033948681933095,307
acl,7,0.05211726384364821,0.04556252345661193,307
