label,layer,acc,mean_gold_prob,support
0,0,0.04040404040404041,0.008008229431770387,1683
0,1,0.019013666072489603,0.0053503352214142475,1683
0,2,0.015448603683897801,0.00453924574941882,1683
0,3,0.0059417706476530005,0.004181219830729504,1683
0,4,0.0023767082590612004,0.003719271011027329,1683
0,5,0.0017825311942959,0.004428873668896949,1683
0,6,0.0023767082590612004,0.004078487912905405,1683
0,7,0.08496732026143791,0.008061807711969229,1683
0,8,0.30303030303030304,0.014761152545120778,1683
0,9,0.8389780154486037,0.0414842206651906,1683
0,10,0.9803921568627451,0.20994673847468195,1683
0,11,0.9845513963161022,0.9532001651517438,1683
0,12,0.9809863339275104,0.9816384604410102,1683
1,0,0.09358974358974359,0.010664791465313054,780
1,1,0.029487179487179487,0.007157025819357771,780
1,2,0.017948717948717947,0.005090014903413621,780
1,3,0.005128205128205128,0.0046409758178738115,780
1,4,0.011538461538461539,0.005216544341610876,780
1,5,0.002564102564102564,0.004851863683590916,780
1,6,0.0038461538461538464,0.004871029038324009,780
1,7,0.09102564102564102,0.010246039428248201,780
1,8,0.2782051282051282,0.0259955165598046,780
1,9,0.441025641025641,0.0794360075001187,780
1,10,0.6961538461538461,0.2505024943344044,780
1,11,0.9205128205128205,0.7960513920388155,780
1,12,0.9153846153846154,0.913933245217638,780
2,0,0.022364217252396165,0.007499689724880515,1878
2,1,0.058572949946751864,0.009179363087654269,1878
2,2,0.042598509052183174,0.007051455813822812,1878
2,3,0.026624068157614485,0.007987266063276844,1878
2,4,0.01597444089456869,0.0074241537012883115,1878
2,5,0.011714589989350373,0.006924724126052651,1878
2,6,0.01597444089456869,0.0077957069427420905,1878
2,7,0.11980830670926518,0.015325704158759505,1878
2,8,0.5841320553780618,0.044728175792288924,1878
2,9,0.8551650692225772,0.15040354020996474,1878
2,10,0.8892438764643238,0.3907050431529467,1878
2,11,0.9680511182108626,0.8113622340064083,1878
2,12,0.9675186368477103,0.9667278072846865,1878
3,0,0.026041666666666668,0.009774400740642512,2112
3,1,0.008049242424242424,0.006029107600480446,2112
3,2,0.030303030303030304,0.008030557023506513,2112
3,3,0.08712121212121213,0.012571889626887049,2112
3,4,0.13446969696969696,0.013377002085510894,2112
3,5,0.10037878787878787,0.013237255412522327,2112
3,6,0.20170454545454544,0.017345447756821213,2112
3,7,0.39867424242424243,0.026504765704885358,2112
3,8,0.5525568181818182,0.058882436829800565,2112
3,9,0.603219696969697,0.10539790391024353,2112
3,10,0.712594696969697,0.2745926738092142,2112
3,11,0.9507575757575758,0.8215254855631532,2112
3,12,0.9460227272727273,0.9451359750607048,2112
4,0,0.022484541877459248,0.0087981360759556,1779
4,1,0.0011242270938729624,0.0066503801678958864,1779
4,2,0.0,0.003913409010906145,1779
4,3,0.0005621135469364812,0.0031342729191110807,1779
4,4,0.0005621135469364812,0.0030348321936652313,1779
4,5,0.0,0.002815284688106726,1779
4,6,0.0,0.0022903465818111656,1779
4,7,0.0,0.0026566110567275217,1779
4,8,0.0005621135469364812,0.005036920292780734,1779
4,9,0.0,0.011843265779277162,1779
4,10,0.028105677346824058,0.06183858697743107,1779
4,11,0.48791455874086564,0.2849524732604087,1779
4,12,0.9634626194491287,0.9613679005505793,1779
5,0,0.02569593147751606,0.008735932241871004,1868
5,1,0.030513918629550323,0.009182800805088102,1868
5,2,0.04068522483940043,0.008001478136163375,1868
5,3,0.02676659528907923,0.009176361224659826,1868
5,4,0.05353319057815846,0.009383087239935032,1868
5,5,0.04764453961456103,0.009363450925037283,1868
5,6,0.07441113490364026,0.012008292044641808,1868
5,7,0.1702355460385439,0.015890452855478396,1868
5,8,0.34582441113490364,0.02391940181235692,1868
5,9,0.6065310492505354,0.0572908540318393,1868
5,10,0.8592077087794433,0.12424407240798063,1868
5,11,0.8897216274089935,0.3365428561400177,1868
5,12,0.9528907922912205,0.9510011078531252,1868
6,0,0.007062978222483814,0.007606092541377987,1699
6,1,0.0,0.005508323847277492,1699
6,2,0.0005885815185403178,0.004686235434388654,1699
6,3,0.002354326074161271,0.005475390492695213,1699
6,4,0.006474396703943496,0.005956817331342281,1699
6,5,0.004708652148322542,0.005735419184657985,1699
6,6,0.004120070629782225,0.006605655761235413,1699
6,7,0.002942907592701589,0.005861969344302359,1699
6,8,0.02177751618599176,0.010108175142244734,1699
6,9,0.06121247792819305,0.028718568182684943,1699
6,10,0.583284284873455,0.09084469253635018,1699
6,11,0.8864037669217186,0.3231133655167626,1699
6,12,0.964685108887581,0.9636944233048218,1699
7,0,0.014680971202710334,0.008690141010044783,1771
7,1,0.000564652738565782,0.004811877354798812,1771
7,2,0.000564652738565782,0.00394608235693273,1771
7,3,0.0016939582156973462,0.0037339905100053057,1771
7,4,0.000564652738565782,0.0035592593272757087,1771
7,5,0.001129305477131564,0.003396986989854422,1771
7,6,0.0,0.00353242431173524,1771
7,7,0.020327498588368152,0.005724902786358529,1771
7,8,0.18181818181818182,0.013224691812190983,1771
7,9,0.5736871823828346,0.04725772903602805,1771
7,10,0.8785996612083569,0.18838212675174917,1771
7,11,0.9356295878035008,0.4810770278155185,1771
7,12,0.9474872953133823,0.947196201450122,1771
8,0,0.035759897828863345,0.011195107268642023,1566
8,1,0.005747126436781609,0.006924906105835584,1566
8,2,0.006385696040868455,0.005868222331302969,1566
8,3,0.007662835249042145,0.005907011781953719,1566
8,4,0.008301404853128991,0.005446977686170934,1566
8,5,0.0031928480204342275,0.005128077763802696,1566
8,6,0.001277139208173691,0.004310163110293898,1566
8,7,0.018518518518518517,0.005316130778614591,1566
8,8,0.06449553001277139,0.009670763789737236,1566
8,9,0.16538952745849297,0.035151694956410136,1566
8,10,0.3333333333333333,0.13591087062594925,1566
8,11,0.9240102171136654,0.5625551328530294,1566
8,12,0.9591315453384419,0.957433909243595,1566
9,0,0.05,0.010490954340666922,1580
9,1,0.005063291139240506,0.007651808035179669,1580
9,2,0.002531645569620253,0.0044923719937678816,1580
9,3,0.002531645569620253,0.0034878049898285513,1580
9,4,0.0018987341772151898,0.003157926669500509,1580
9,5,0.0,0.0026464728973131725,1580
9,6,0.0,0.0026445011625985935,1580
9,7,0.013924050632911392,0.004164843189559915,1580
9,8,0.17151898734177215,0.011620845351413502,1580
9,9,0.4462025316455696,0.04524727843230652,1580
9,10,0.8582278481012658,0.27872710533329037,1580
9,11,0.959493670886076,0.7157392904383817,1580
9,12,0.9588607594936709,0.9582723249170768,1580
10,0,0.01485148514851485,0.008056904007821912,1616
10,1,0.02599009900990099,0.008069404530078378,1616
10,2,0.01547029702970297,0.005918592388306844,1616
10,3,0.019183168316831683,0.006095780258928613,1616
10,4,0.01608910891089109,0.005449502595138706,1616
10,5,0.01051980198019802,0.0051166320899938,1616
10,6,0.01547029702970297,0.005241207085698016,1616
10,7,0.0426980198019802,0.006245079690974181,1616
10,8,0.11819306930693069,0.008826601545362142,1616
10,9,0.2004950495049505,0.02376972050680508,1616
10,10,0.08477722772277228,0.09927002213157496,1616
10,11,0.7617574257425742,0.46250656244302435,1616
10,12,0.9535891089108911,0.9531244391518582,1616
11,0,0.015024038461538462,0.007607163483411428,1664
11,1,0.013221153846153846,0.007068085631251856,1664
11,2,0.003605769230769231,0.004648133678537865,1664
11,3,0.0,0.0034527099019389705,1664
11,4,0.0006009615384615385,0.003431696934149806,1664
11,5,0.0,0.002732819507015777,1664
11,6,0.0,0.002669349810577597,1664
11,7,0.001201923076923077,0.0033143456180281506,1664
11,8,0.010817307692307692,0.005684021054041575,1664
11,9,0.043870192307692304,0.01464486139849004,1664
11,10,0.05048076923076923,0.05382660305925723,1664
11,11,0.1875,0.15644109030199616,1664
11,12,0.9393028846153846,0.9391029862346516,1664
12,0,0.015195369030390739,0.00773051072882206,1382
12,1,0.002894356005788712,0.006243653563916636,1382
12,2,0.002170767004341534,0.004079047785460337,1382
12,3,0.001447178002894356,0.002707097742585826,1382
12,4,0.000723589001447178,0.002557293877978344,1382
12,5,0.0,0.0024378741224139375,1382
12,6,0.0,0.0021350575427485324,1382
12,7,0.0,0.00286908885288649,1382
12,8,0.006512301013024602,0.00531802425332763,1382
12,9,0.07597684515195369,0.016386718084176802,1382
12,10,0.2105643994211288,0.06058561906753685,1382
12,11,0.8299565846599132,0.3607038588002129,1382
12,12,0.9565846599131693,0.9549928163613768,1382
13,0,0.014378145219266714,0.007339833394882398,1391
13,1,0.0050323508267433505,0.005467689670555186,1391
13,2,0.006470165348670022,0.005029862729010593,1391
13,3,0.004313443565780014,0.004344700842623004,1391
13,4,0.007907979870596693,0.004196267753048521,1391
13,5,0.002875629043853343,0.003920189089459899,1391
13,6,0.0014378145219266715,0.003762878005232454,1391
13,7,0.005751258087706686,0.004616713549680011,1391
