label,layer,acc,mean_gold_prob,support
DET,0,0.5399673735725938,0.11844551767948802,4904
DET,1,0.22553017944535073,0.09526872649349404,4904
DET,2,0.004690048939641109,0.05739789285560687,4904
DET,3,0.005709624796084829,0.05594034548072132,4904
DET,4,0.012438825448613376,0.0658559713664208,4904
DET,5,0.14212887438825447,0.08769177186848265,4904
DET,6,0.3480831973898858,0.10531116910388945,4904
DET,7,0.31382544861337686,0.11047974917418543,4904
DET,8,0.2528548123980424,0.10174296837437558,4904
DET,9,0.16190864600326263,0.0898817836897232,4904
DET,10,0.4047716150081566,0.12001999542645071,4904
DET,11,0.4168026101141925,0.12293412824287452,4904
DET,12,0.3968189233278956,0.12512797970616457,4904
DET,13,0.242047308319739,0.10200647285704154,4904
DET,14,0.4618678629690049,0.1464002587411668,4904
DET,15,0.5254893964110929,0.15518310189503132,4904
DET,16,0.8022022838499184,0.24283924444206742,4904
DET,17,0.8752039151712887,0.3169846013932813,4904
DET,18,0.9533034257748777,0.3783786895384459,4904
DET,19,0.9877650897226754,0.5943312347570524,4904
DET,20,0.992862969004894,0.749041594864404,4904
DET,21,0.9946982055464927,0.894282153949159,4904
DET,22,0.9957177814029364,0.9795944416805491,4904
DET,23,0.9957177814029364,0.9900848839473924,4904
DET,24,0.9957177814029364,0.9956349497922485,4904
NOUN,0,0.1345696623870661,0.0765324309171557,6309
NOUN,1,0.2456807734981772,0.13498603516662552,6309
NOUN,2,0.2173086067522587,0.11486408336598525,6309
NOUN,3,0.1591377397368838,0.09353302700316923,6309
NOUN,4,0.1180852750039626,0.08784683625985697,6309
NOUN,5,0.1350451735615787,0.08755974048082264,6309
NOUN,6,0.14883499762244412,0.09209166004259436,6309
NOUN,7,0.21778411792677127,0.10666328546425623,6309
NOUN,8,0.15121255349500715,0.09740052042792632,6309
NOUN,9,0.14661594547471865,0.09404824223850004,6309
NOUN,10,0.16008876208590903,0.09325912440091462,6309
NOUN,11,0.2184181328261214,0.10577698693108678,6309
NOUN,12,0.3189094943731178,0.1204203126231971,6309
